method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,training_time,communication_time,evaluation_time,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,stage,source_partial
NOG-FO,NOG-opt,864,864,432,8,y_bar,0.1,0.1,0.1,2,1.0,0.13554072380065918,13.356304848566651,13.356304848566651,9.571676956489682,18.81901179254055,600,100600,200600,434535038,sfo,6928,6928,866,"[866, 866, 866, 866, 866, 866, 866, 866]",4718592,866,866,-0.835874080657959,0.009572741575539112,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,888,888,444,8,y_bar,0.1,0.1,0.1,2,1.0,0.13857553899288177,13.739282462745905,13.739282462745905,9.890554744750261,19.33633181452751,600,100600,200600,434535038,sfo,7120,7120,890,"[890, 890, 890, 890, 890, 890, 890, 890]",4849664,890,890,-0.835693359375,0.01042127888649702,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,912,912,456,8,y_bar,0.1,0.1,0.1,2,1.0,0.12494594603776932,14.105156918987632,14.105156918987632,10.161774337291718,19.840720422565937,600,100600,200600,434535038,sfo,7312,7312,914,"[914, 914, 914, 914, 914, 914, 914, 914]",4980736,914,914,-0.8356750011444092,0.010081618092954159,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,936,936,468,8,y_bar,0.1,0.1,0.1,2,1.0,0.1271677166223526,14.46462389267981,14.46462389267981,10.391232201829553,20.286193324252963,600,100600,200600,434535038,sfo,7504,7504,938,"[938, 938, 938, 938, 938, 938, 938, 938]",5111808,938,938,-0.8356494903564453,0.010539408773183823,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,960,960,480,8,y_bar,0.1,0.1,0.1,2,1.0,0.14233937859535217,14.818478817120194,14.818478817120194,10.687972605228424,22.07713282108307,600,100600,200600,434535038,sfo,7696,7696,962,"[962, 962, 962, 962, 962, 962, 962, 962]",5242880,962,962,-0.8357051610946655,0.010087192989885807,0.1,pilot,pilot/partials/NOG-FO__m8__seed600__cfg14235d9e4fc1.json
NOG-FO,NOG-opt,24,24,12,8,y_bar,0.1,0.1,0.1,2,1.0,0.3426811993122101,0.7019727658480406,0.7019727658480406,0.6278340052813292,0.7320994231849909,601,100601,200601,1279065326,sfo,208,208,26,"[26, 26, 26, 26, 26, 26, 26, 26]",131072,26,26,-0.09428124874830246,0.2470935881137848,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,48,48,24,8,y_bar,0.1,0.1,0.1,2,1.0,0.3585320711135864,0.8632774911820889,0.8632774911820889,0.6874232403934002,1.3620751854032278,601,100601,200601,1279065326,sfo,400,400,50,"[50, 50, 50, 50, 50, 50, 50, 50]",262144,50,50,-0.18774640560150146,0.24204713106155396,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,72,72,36,8,y_bar,0.1,0.1,0.1,2,1.0,0.299751341342926,1.0975173097103834,1.0975173097103834,0.8582943119108677,1.92906972207129,601,100601,200601,1279065326,sfo,592,592,74,"[74, 74, 74, 74, 74, 74, 74, 74]",393216,74,74,-0.27650532126426697,0.2339402437210083,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,96,96,48,8,y_bar,0.1,0.1,0.1,2,1.0,0.3224923610687256,1.3211983814835548,1.3211983814835548,1.0219881497323513,2.4653707779943943,601,100601,200601,1279065326,sfo,784,784,98,"[98, 98, 98, 98, 98, 98, 98, 98]",524288,98,98,-0.3662918508052826,0.22208958864212036,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,120,120,60,8,y_bar,0.1,0.1,0.1,2,1.0,0.31443294882774353,1.5851098150014877,1.5851098150014877,1.1597942356020212,3.0268067251890898,601,100601,200601,1279065326,sfo,976,976,122,"[122, 122, 122, 122, 122, 122, 122, 122]",655360,122,122,-0.44557762145996094,0.20830407738685608,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,144,144,72,8,y_bar,0.1,0.1,0.1,2,1.0,0.2638417184352875,1.8490387871861458,1.8490387871861458,1.306459141895175,3.57876686938107,601,100601,200601,1279065326,sfo,1168,1168,146,"[146, 146, 146, 146, 146, 146, 146, 146]",786432,146,146,-0.5176978707313538,0.1924300491809845,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,168,168,84,8,y_bar,0.1,0.1,0.1,2,1.0,0.2496485412120819,2.1683148704469204,2.1683148704469204,1.5557248406112194,4.104861848056316,601,100601,200601,1279065326,sfo,1360,1360,170,"[170, 170, 170, 170, 170, 170, 170, 170]",917504,170,170,-0.5891422629356384,0.1728931963443756,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,192,192,96,8,y_bar,0.1,0.1,0.1,2,1.0,0.23481479287147522,2.545597542077303,2.545597542077303,1.8596163373440504,4.610916793346405,601,100601,200601,1279065326,sfo,1552,1552,194,"[194, 194, 194, 194, 194, 194, 194, 194]",1048576,194,194,-0.6475026607513428,0.15313202142715454,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,216,216,108,8,y_bar,0.1,0.1,0.1,2,1.0,0.18674780428409576,2.919434430077672,2.919434430077672,2.1576633658260107,5.095213562250137,601,100601,200601,1279065326,sfo,1744,1744,218,"[218, 218, 218, 218, 218, 218, 218, 218]",1179648,218,218,-0.6945350170135498,0.13378465175628662,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,240,240,120,8,y_bar,0.1,0.1,0.1,2,1.0,0.19999542832374573,3.325999515131116,3.325999515131116,2.428204981610179,5.520017186179757,601,100601,200601,1279065326,sfo,1936,1936,242,"[242, 242, 242, 242, 242, 242, 242, 242]",1310720,242,242,-0.7366816997528076,0.11253917217254639,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,264,264,132,8,y_bar,0.1,0.1,0.1,2,1.0,0.18570052087306976,3.791596680879593,3.791596680879593,2.797008039429784,5.904641132801771,601,100601,200601,1279065326,sfo,2128,2128,266,"[266, 266, 266, 266, 266, 266, 266, 266]",1441792,266,266,-0.7660106420516968,0.09459716081619263,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,288,288,144,8,y_bar,0.1,0.1,0.1,2,1.0,0.15077637135982513,4.230608876794577,4.230608876794577,3.168088272213936,6.320109236985445,601,100601,200601,1279065326,sfo,2320,2320,290,"[290, 290, 290, 290, 290, 290, 290, 290]",1572864,290,290,-0.7889899611473083,0.07722775638103485,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,312,312,156,8,y_bar,0.1,0.1,0.1,2,1.0,0.16432924568653107,4.670611180365086,4.670611180365086,3.470350656658411,6.723880982026458,601,100601,200601,1279065326,sfo,2512,2512,314,"[314, 314, 314, 314, 314, 314, 314, 314]",1703936,314,314,-0.8046835064888,0.06239420548081398,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,336,336,168,8,y_bar,0.1,0.1,0.1,2,1.0,0.15399731695652008,5.144145531579852,5.144145531579852,3.8733960911631584,7.085887713357806,601,100601,200601,1279065326,sfo,2704,2704,338,"[338, 338, 338, 338, 338, 338, 338, 338]",1835008,338,338,-0.8126935958862305,0.05347849056124687,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,360,360,180,8,y_bar,0.1,0.1,0.1,2,1.0,0.12692129611968994,5.577949648723006,5.577949648723006,4.101369252428412,7.481227103620768,601,100601,200601,1279065326,sfo,2896,2896,362,"[362, 362, 362, 362, 362, 362, 362, 362]",1966080,362,362,-0.819901704788208,0.0437091700732708,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,384,384,192,8,y_bar,0.1,0.1,0.1,2,1.0,0.12217333167791367,5.987743994221091,5.987743994221091,4.319861188530922,7.959238603711128,601,100601,200601,1279065326,sfo,3088,3088,386,"[386, 386, 386, 386, 386, 386, 386, 386]",2097152,386,386,-0.8256711363792419,0.034022122621536255,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,408,408,204,8,y_bar,0.1,0.1,0.1,2,1.0,0.11461180448532104,6.394164249300957,6.394164249300957,4.543811932206154,8.358443841338158,601,100601,200601,1279065326,sfo,3280,3280,410,"[410, 410, 410, 410, 410, 410, 410, 410]",2228224,410,410,-0.8278750777244568,0.02967292256653309,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,432,432,216,8,y_bar,0.1,0.1,0.1,2,1.0,0.13759362697601318,6.888639476150274,6.888639476150274,4.91794727742672,8.754576243460178,601,100601,200601,1279065326,sfo,3472,3472,434,"[434, 434, 434, 434, 434, 434, 434, 434]",2359296,434,434,-0.8303267955780029,0.02412954531610012,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,456,456,228,8,y_bar,0.1,0.1,0.1,2,1.0,0.12976601719856262,7.402019100263715,7.402019100263715,5.285837268456817,9.143289214000106,601,100601,200601,1279065326,sfo,3664,3664,458,"[458, 458, 458, 458, 458, 458, 458, 458]",2490368,458,458,-0.8312487006187439,0.02115338109433651,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
NOG-FO,NOG-opt,480,480,240,8,y_bar,0.1,0.1,0.1,2,1.0,0.13339126110076904,7.978610625490546,7.978610625490546,5.654354810714722,9.47099769115448,601,100601,200601,1279065326,sfo,3856,3856,482,"[482, 482, 482, 482, 482, 482, 482, 482]",2621440,482,482,-0.8322921991348267,0.01788753643631935,0.1,pilot,pilot/partials/NOG-FO__m8__seed601__cfg621814fe26af.json
