method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,training_time,communication_time,evaluation_time,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,stage,source_partial
NOG-FO,NOG-opt,888,888,444,8,y_bar,0.1,0.1,0.1,2,1.0,0.10871854424476624,17.088325822725892,17.088325822725892,12.600446242839098,18.234835010021925,620,100620,200620,288791310,sfo,7120,7120,890,"[890, 890, 890, 890, 890, 890, 890, 890]",4849664,890,890,-0.8313537240028381,0.010151183232665062,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,912,912,456,8,y_bar,0.1,0.1,0.1,2,1.0,0.13777576386928558,17.714548964053392,17.714548964053392,13.081915188580751,18.618282344192266,620,100620,200620,288791310,sfo,7312,7312,914,"[914, 914, 914, 914, 914, 914, 914, 914]",4980736,914,914,-0.8313361406326294,0.00999816320836544,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,936,936,468,8,y_bar,0.1,0.1,0.1,2,1.0,0.10885528475046158,18.306231755763292,18.306231755763292,13.463776903226972,19.308955496177077,620,100620,200620,288791310,sfo,7504,7504,938,"[938, 938, 938, 938, 938, 938, 938, 938]",5111808,938,938,-0.8313206434249878,0.009686359204351902,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,960,960,480,8,y_bar,0.1,0.1,0.1,2,1.0,0.1296663135290146,18.991470938548446,18.991470938548446,13.858988570049405,21.425731755793095,620,100620,200620,288791310,sfo,7696,7696,962,"[962, 962, 962, 962, 962, 962, 962, 962]",5242880,962,962,-0.8312863111495972,0.009362982586026192,0.1,formal,formal/partials/NOG-FO__m8__seed620__cfg3b041462a1df.json
NOG-FO,NOG-opt,24,24,12,8,y_bar,0.1,0.1,0.1,2,1.0,0.328139990568161,0.381950156763196,0.381950156763196,0.31037376821041107,0.4443773366510868,621,100621,200621,687788602,sfo,208,208,26,"[26, 26, 26, 26, 26, 26, 26, 26]",131072,26,26,-0.09142640233039856,0.24443063139915466,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,48,48,24,8,y_bar,0.1,0.1,0.1,2,1.0,0.35047170519828796,0.5322442706674337,0.5322442706674337,0.4081130400300026,0.7733208201825619,621,100621,200621,687788602,sfo,400,400,50,"[50, 50, 50, 50, 50, 50, 50, 50]",262144,50,50,-0.18432630598545074,0.23954135179519653,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,72,72,36,8,y_bar,0.1,0.1,0.1,2,1.0,0.3298397362232208,0.6683511417359114,0.6683511417359114,0.48912254348397255,1.8038019463419914,621,100621,200621,687788602,sfo,592,592,74,"[74, 74, 74, 74, 74, 74, 74, 74]",393216,74,74,-0.2760651409626007,0.23131759464740753,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,96,96,48,8,y_bar,0.1,0.1,0.1,2,1.0,0.29784563183784485,0.9914257992058992,0.9914257992058992,0.6532319448888302,2.4691270012408495,621,100621,200621,687788602,sfo,784,784,98,"[98, 98, 98, 98, 98, 98, 98, 98]",524288,98,98,-0.36320382356643677,0.22008845210075378,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,120,120,60,8,y_bar,0.1,0.1,0.1,2,1.0,0.2844700217247009,1.226443873718381,1.226443873718381,0.8242928795516491,3.060149885714054,621,100621,200621,687788602,sfo,976,976,122,"[122, 122, 122, 122, 122, 122, 122, 122]",655360,122,122,-0.4441453814506531,0.20627759397029877,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,144,144,72,8,y_bar,0.1,0.1,0.1,2,1.0,0.2785731554031372,1.4543802812695503,1.4543802812695503,0.9903091844171286,3.456953302025795,621,100621,200621,687788602,sfo,1168,1168,146,"[146, 146, 146, 146, 146, 146, 146, 146]",786432,146,146,-0.515290379524231,0.1908951997756958,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,168,168,84,8,y_bar,0.1,0.1,0.1,2,1.0,0.24286559224128723,1.872584255412221,1.872584255412221,1.279709730297327,3.7836265806108713,621,100621,200621,687788602,sfo,1360,1360,170,"[170, 170, 170, 170, 170, 170, 170, 170]",917504,170,170,-0.5818239450454712,0.17312990128993988,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,192,192,96,8,y_bar,0.1,0.1,0.1,2,1.0,0.230326846241951,2.387556182220578,2.387556182220578,1.6781532485038042,4.12368743121624,621,100621,200621,687788602,sfo,1552,1552,194,"[194, 194, 194, 194, 194, 194, 194, 194]",1048576,194,194,-0.6377758383750916,0.15499724447727203,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,216,216,108,8,y_bar,0.1,0.1,0.1,2,1.0,0.2260085642337799,3.0231297966092825,3.0231297966092825,2.1014293041080236,4.456277513876557,621,100621,200621,687788602,sfo,1744,1744,218,"[218, 218, 218, 218, 218, 218, 218, 218]",1179648,218,218,-0.6875717043876648,0.13532599806785583,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,240,240,120,8,y_bar,0.1,0.1,0.1,2,1.0,0.19553621113300323,3.5926165655255318,3.5926165655255318,2.553262632340193,4.847634445875883,621,100621,200621,687788602,sfo,1936,1936,242,"[242, 242, 242, 242, 242, 242, 242, 242]",1310720,242,242,-0.725223958492279,0.11732982844114304,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,264,264,132,8,y_bar,0.1,0.1,0.1,2,1.0,0.1876482218503952,4.179184164851904,4.179184164851904,2.997947519645095,5.235018085688353,621,100621,200621,687788602,sfo,2128,2128,266,"[266, 266, 266, 266, 266, 266, 266, 266]",1441792,266,266,-0.7581493854522705,0.09841734170913696,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,288,288,144,8,y_bar,0.1,0.1,0.1,2,1.0,0.11799023300409317,4.799039637669921,4.799039637669921,3.489460026845336,5.574148265644908,621,100621,200621,687788602,sfo,2320,2320,290,"[290, 290, 290, 290, 290, 290, 290, 290]",1572864,290,290,-0.7836561799049377,0.08038340508937836,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,312,312,156,8,y_bar,0.1,0.1,0.1,2,1.0,0.18801747262477875,5.439577708020806,5.439577708020806,3.9891059082001448,5.904610514640808,621,100621,200621,687788602,sfo,2512,2512,314,"[314, 314, 314, 314, 314, 314, 314, 314]",1703936,314,314,-0.7967926263809204,0.0689660981297493,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
NOG-FO,NOG-opt,336,336,168,8,y_bar,0.1,0.1,0.1,2,1.0,0.12434618920087814,6.097126118838787,6.097126118838787,4.362744642421603,6.2318719159811735,621,100621,200621,687788602,sfo,2704,2704,338,"[338, 338, 338, 338, 338, 338, 338, 338]",1835008,338,338,-0.8100274205207825,0.05518277734518051,0.1,formal,formal/partials/NOG-FO__m8__seed621__cfgc89eb2635c96.json
