stage,method,formal_seed,epsilon,hit,hit_iteration,hit_depth,hit_work,hit_epsilon,max_depth,max_work
formal,NOG-FO,637,0.009,False,,,,0.009924394078552723,962.0,7696.0
formal,NOG-FO,637,0.008,False,,,,0.009924394078552723,962.0,7696.0
formal,NOG-FO,638,0.2,True,144.0,146.0,1168.0,0.19045951962471008,962.0,7696.0
formal,NOG-FO,638,0.1,True,264.0,266.0,2128.0,0.09616082906723022,962.0,7696.0
formal,NOG-FO,638,0.05,True,360.0,362.0,2896.0,0.04143524542450905,962.0,7696.0
formal,NOG-FO,638,0.03,True,408.0,410.0,3280.0,0.028273500502109528,962.0,7696.0
formal,NOG-FO,638,0.02,True,456.0,458.0,3664.0,0.01908711902797222,962.0,7696.0
formal,NOG-FO,638,0.015,True,504.0,506.0,4048.0,0.012622728943824768,962.0,7696.0
formal,NOG-FO,638,0.01,True,600.0,602.0,4816.0,0.0099604781717062,962.0,7696.0
formal,NOG-FO,638,0.009,False,,,,0.011413357220590115,962.0,7696.0
formal,NOG-FO,638,0.008,False,,,,0.011413357220590115,962.0,7696.0
formal,NOG-FO,639,0.2,True,144.0,146.0,1168.0,0.1915448009967804,962.0,7696.0
formal,NOG-FO,639,0.1,True,264.0,266.0,2128.0,0.09322820603847504,962.0,7696.0
formal,NOG-FO,639,0.05,True,360.0,362.0,2896.0,0.038890983909368515,962.0,7696.0
formal,NOG-FO,639,0.03,True,408.0,410.0,3280.0,0.026246365159749985,962.0,7696.0
formal,NOG-FO,639,0.02,True,456.0,458.0,3664.0,0.016252415254712105,962.0,7696.0
formal,NOG-FO,639,0.015,True,480.0,482.0,3856.0,0.014524860307574272,962.0,7696.0
formal,NOG-FO,639,0.01,True,624.0,626.0,5008.0,0.009714479558169842,962.0,7696.0
formal,NOG-FO,639,0.009,False,,,,0.010834121145308018,962.0,7696.0
formal,NOG-FO,639,0.008,False,,,,0.010834121145308018,962.0,7696.0
formal,NOG-FO-NONOPT,620,0.2,True,72.0,74.0,592.0,0.196649432182312,962.0,7696.0
formal,NOG-FO-NONOPT,620,0.1,True,144.0,146.0,1168.0,0.08357638120651245,962.0,7696.0
formal,NOG-FO-NONOPT,620,0.05,True,192.0,194.0,1552.0,0.032259710133075714,962.0,7696.0
formal,NOG-FO-NONOPT,620,0.03,True,216.0,218.0,1744.0,0.02219974249601364,962.0,7696.0
formal,NOG-FO-NONOPT,620,0.02,True,240.0,242.0,1936.0,0.01873866654932499,962.0,7696.0
formal,NOG-FO-NONOPT,620,0.015,True,264.0,266.0,2128.0,0.012041283771395683,962.0,7696.0
formal,NOG-FO-NONOPT,620,0.01,False,,,,0.011782958172261715,962.0,7696.0
formal,NOG-FO-NONOPT,620,0.009,False,,,,0.011782958172261715,962.0,7696.0
formal,NOG-FO-NONOPT,620,0.008,False,,,,0.011782958172261715,962.0,7696.0
formal,NOG-FO-NONOPT,621,0.2,True,72.0,74.0,592.0,0.19423654675483704,962.0,7696.0
formal,NOG-FO-NONOPT,621,0.1,True,144.0,146.0,1168.0,0.07966817170381546,962.0,7696.0
formal,NOG-FO-NONOPT,621,0.05,True,168.0,170.0,1360.0,0.048282742500305176,962.0,7696.0
formal,NOG-FO-NONOPT,621,0.03,True,216.0,218.0,1744.0,0.022143617272377014,962.0,7696.0
formal,NOG-FO-NONOPT,621,0.02,True,240.0,242.0,1936.0,0.01595824956893921,962.0,7696.0
formal,NOG-FO-NONOPT,621,0.015,True,288.0,290.0,2320.0,0.01176898367702961,962.0,7696.0
formal,NOG-FO-NONOPT,621,0.01,False,,,,0.012656617909669876,962.0,7696.0
formal,NOG-FO-NONOPT,621,0.009,False,,,,0.012656617909669876,962.0,7696.0
formal,NOG-FO-NONOPT,621,0.008,False,,,,0.012656617909669876,962.0,7696.0
formal,NOG-FO-NONOPT,622,0.2,True,72.0,74.0,592.0,0.19970345497131348,962.0,7696.0
formal,NOG-FO-NONOPT,622,0.1,True,144.0,146.0,1168.0,0.08348719775676727,962.0,7696.0
