method,epsilon,region,formal_seed,hit,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,censoring_depth,censoring_total_work,censoring_per_worker_work,censoring_training_time,final_stat_proxy
NOG-FO,0.01,medium,15,True,244,246,15744,1968,1.4866164776030928,962,61568,7696,5.7484752158634365,0.008737101219594479
NOG-FO,0.01,medium,16,True,52,54,3456,432,1.134752071928233,962,61568,7696,6.4318591079209,0.009516707621514797
NOG-FO,0.01,medium,17,True,100,102,6528,816,0.7100090247113258,962,61568,7696,5.6376097979955375,0.009500323794782162
NOG-FO,0.01,medium,18,True,100,102,6528,816,0.7368751226458699,962,61568,7696,5.785413954174146,0.009314732626080513
NOG-FO,0.01,medium,19,True,196,198,12672,1584,1.2560330973938107,962,61568,7696,5.7890127236023545,0.009523515589535236
NOG-FO,0.009,fine,0,True,72,74,37888,4736,1.25313835660927,61442,31458304,3932288,656.3708682809956,0.006724645849317312
NOG-FO,0.009,fine,1,True,72,74,37888,4736,0.9807747828308493,61442,31458304,3932288,649.8601421914063,0.006369575392454863
NOG-FO,0.009,fine,2,True,72,74,37888,4736,0.9281775769777596,61442,31458304,3932288,653.8731739306822,0.006733762566000223
NOG-FO,0.009,fine,3,True,72,74,37888,4736,0.9615195617079735,61442,31458304,3932288,648.2452485784888,0.0074996985495090485
NOG-FO,0.009,fine,4,True,72,74,37888,4736,1.0396964801475406,61442,31458304,3932288,647.7081150158774,0.007654862478375435
NOG-FO,0.009,fine,5,True,72,74,37888,4736,0.9785457404796034,61442,31458304,3932288,651.5756758386269,0.006679874379187822
NOG-FO,0.009,fine,6,True,120,122,62464,7808,1.4798173825256526,61442,31458304,3932288,649.4307274809107,0.006209922954440117
NOG-FO,0.009,fine,7,True,72,74,37888,4736,0.9603049186989665,61442,31458304,3932288,654.1344398951624,0.006934375036507845
NOG-FO,0.009,fine,8,True,120,122,62464,7808,1.478493511211127,61442,31458304,3932288,653.7205309583806,0.00636958796530962
NOG-FO,0.009,fine,9,True,696,698,357376,44672,8.1715429474134,61442,31458304,3932288,655.1763893093448,0.00751452473923564
NOG-FO,0.009,fine,10,True,72,74,37888,4736,0.955657018115744,61442,31458304,3932288,644.3078520887066,0.006466542836278677
NOG-FO,0.009,fine,11,True,120,122,62464,7808,1.4743307351600379,61442,31458304,3932288,658.7783926553093,0.005979974754154682
NOG-FO,0.009,fine,12,True,120,122,62464,7808,1.4079381581395864,61442,31458304,3932288,650.4519777970854,0.006614966318011284
NOG-FO,0.009,fine,13,True,216,218,111616,13952,2.474851292092353,61442,31458304,3932288,655.5416335512418,0.007288845721632242
NOG-FO,0.009,fine,14,True,120,122,62464,7808,1.5655925970058888,61442,31458304,3932288,655.3996875155717,0.006958466488867998
