task_id,method,epsilon,region,worker_count,formal_seed,source,hit,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,censoring_depth,censoring_total_work,censoring_per_worker_work,censoring_training_time,final_stat_proxy
ME-DOL-FO__coarse__m1__seed5,ME-DOL-FO,0.1,coarse,1,5,run,True,6,6,6,0.05174853000789881,960,960,960,1.971398635301739,0.010131868533790112
ME-DOL-FO__coarse__m1__seed6,ME-DOL-FO,0.1,coarse,1,6,run,True,6,6,6,0.036962093552574515,960,960,960,1.7938963091000915,0.011360163800418377
ME-DOL-FO__coarse__m1__seed7,ME-DOL-FO,0.1,coarse,1,7,run,True,6,6,6,0.10845531802624464,960,960,960,1.879565582377836,0.009558148682117462
ME-DOL-FO__coarse__m1__seed8,ME-DOL-FO,0.1,coarse,1,8,run,True,6,6,6,0.07819644105620682,960,960,960,1.7823900270741433,0.010756890289485455
ME-DOL-FO__coarse__m1__seed9,ME-DOL-FO,0.1,coarse,1,9,run,True,6,6,6,0.05938053107820451,960,960,960,1.651274299947545,0.01254539005458355
ME-DOL-FO__coarse__m2__seed0,ME-DOL-FO,0.1,coarse,2,0,run,True,6,12,6,0.08259407547302544,960,1920,960,2.308372119208798,0.00980266835540533
ME-DOL-FO__coarse__m2__seed1,ME-DOL-FO,0.1,coarse,2,1,run,True,6,12,6,0.2036905561108142,960,1920,960,2.3522767550311983,0.010486753657460213
ME-DOL-FO__coarse__m2__seed2,ME-DOL-FO,0.1,coarse,2,2,run,True,6,12,6,0.08953446475788951,960,1920,960,2.1564160021953285,0.00969595368951559
ME-DOL-FO__coarse__m2__seed3,ME-DOL-FO,0.1,coarse,2,3,run,True,6,12,6,0.06898562121205032,960,1920,960,2.195112477056682,0.010167748667299747
ME-DOL-FO__coarse__m2__seed4,ME-DOL-FO,0.1,coarse,2,4,run,True,6,12,6,0.06300544459372759,960,1920,960,2.0279129105620086,0.01071553397923708
ME-DOL-FO__coarse__m2__seed5,ME-DOL-FO,0.1,coarse,2,5,run,True,6,12,6,0.09604065027087927,960,1920,960,2.172338747419417,0.009880323894321918
ME-DOL-FO__coarse__m2__seed6,ME-DOL-FO,0.1,coarse,2,6,run,True,6,12,6,0.06757491384632885,960,1920,960,2.138610074063763,0.011122385039925575
ME-DOL-FO__coarse__m2__seed7,ME-DOL-FO,0.1,coarse,2,7,run,True,6,12,6,0.05426718574017286,960,1920,960,2.1343720029108226,0.009799730032682419
ME-DOL-FO__coarse__m2__seed8,ME-DOL-FO,0.1,coarse,2,8,run,True,6,12,6,0.051893676863983274,960,1920,960,2.312482135137543,0.010712675750255585
ME-DOL-FO__coarse__m2__seed9,ME-DOL-FO,0.1,coarse,2,9,run,True,6,12,6,0.06776595930568874,960,1920,960,2.299767755670473,0.012802621349692345
ME-DOL-FO__coarse__m4__seed0,ME-DOL-FO,0.1,coarse,4,0,run,True,6,24,6,0.10942241898737848,960,3840,960,4.107851583044976,0.009700310416519642
ME-DOL-FO__coarse__m4__seed1,ME-DOL-FO,0.1,coarse,4,1,run,True,6,24,6,0.10668731899932027,960,3840,960,3.7863285846542567,0.010642297565937042
ME-DOL-FO__coarse__m4__seed2,ME-DOL-FO,0.1,coarse,4,2,run,True,6,24,6,0.10713122575543821,960,3840,960,4.00474712299183,0.009756693616509438
ME-DOL-FO__coarse__m4__seed3,ME-DOL-FO,0.1,coarse,4,3,run,True,6,24,6,0.11519319377839565,960,3840,960,3.840926804812625,0.010242018848657608
ME-DOL-FO__coarse__m4__seed4,ME-DOL-FO,0.1,coarse,4,4,run,True,6,24,6,0.18843998853117228,960,3840,960,4.0206702798604965,0.01090840995311737
ME-DOL-FO__coarse__m4__seed5,ME-DOL-FO,0.1,coarse,4,5,run,True,6,24,6,0.11174823972396553,960,3840,960,4.133656652877107,0.010026250034570694
ME-DOL-FO__coarse__m4__seed6,ME-DOL-FO,0.1,coarse,4,6,run,True,6,24,6,0.11521334177814424,960,3840,960,4.14458579220809,0.01137043721973896
ME-DOL-FO__coarse__m4__seed7,ME-DOL-FO,0.1,coarse,4,7,run,True,6,24,6,0.21095037111081183,960,3840,960,3.8908133720979095,0.00996934063732624
ME-DOL-FO__coarse__m4__seed8,ME-DOL-FO,0.1,coarse,4,8,run,True,6,24,6,0.10691425297409296,960,3840,960,3.8201682665385306,0.01084831915795803
ME-DOL-FO__coarse__m4__seed9,ME-DOL-FO,0.1,coarse,4,9,run,True,6,24,6,0.11829768889583647,960,3840,960,4.142678695265204,0.013033080846071243
ME-DOL-FO__coarse__m8__seed0,ME-DOL-FO,0.1,coarse,8,0,reuse-formal,True,6,48,6,0.20061599160544574,960,7680,960,5.619653919246048,0.00981074757874012
ME-DOL-FO__coarse__m8__seed1,ME-DOL-FO,0.1,coarse,8,1,reuse-formal,True,6,48,6,0.19032223103567958,960,7680,960,5.473725878633559,0.01070725079625845
ME-DOL-FO__coarse__m8__seed2,ME-DOL-FO,0.1,coarse,8,2,reuse-formal,True,6,48,6,0.24733216664753854,960,7680,960,4.9051444788929075,0.009842638857662678
ME-DOL-FO__coarse__m8__seed3,ME-DOL-FO,0.1,coarse,8,3,reuse-formal,True,6,48,6,0.37128787604160607,960,7680,960,5.814155967440456,0.01026351097971201
ME-DOL-FO__coarse__m8__seed4,ME-DOL-FO,0.1,coarse,8,4,reuse-formal,True,6,48,6,0.1734518010634929,960,7680,960,5.724755852250382,0.010973257012665272
ME-DOL-FO__coarse__m8__seed5,ME-DOL-FO,0.1,coarse,8,5,reuse-formal,True,6,48,6,0.459078160347417,960,7680,960,5.918814341304824,0.010130628943443298
ME-DOL-FO__coarse__m8__seed6,ME-DOL-FO,0.1,coarse,8,6,reuse-formal,True,6,48,6,0.1903954588342458,960,7680,960,5.692733055679128,0.01135508343577385
ME-DOL-FO__coarse__m8__seed7,ME-DOL-FO,0.1,coarse,8,7,reuse-formal,True,6,48,6,0.19843793311156332,960,7680,960,6.114894749363884,0.00992777943611145
