formal_config_id,method,formal_seed,worker_count,rounds,checkpoint_count,partial_sha256,config_sha256,expected_config_sha256,final_depth,final_total_work,final_per_worker_work,final_eval_work,passed,errors,task_id,region,epsilon,source
NOG-FO__medium__m2__seed5,NOG-FO,5,2,960,21,c509eee4b7d0bce6932ba78135b01be75b47fdcc7e710e87297adeb633f01465,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__medium__m2__seed5,medium,0.01,run
NOG-FO__medium__m2__seed6,NOG-FO,6,2,960,21,45145b8395f47e6ad0cd4a2d718d07c8de29a363083ce4db1d9391efe522a34c,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__medium__m2__seed6,medium,0.01,run
NOG-FO__medium__m2__seed7,NOG-FO,7,2,960,21,7c0c1840b9fb3ed8db523118a7b6f16d818feae5909684b1b70267d3d9bd4e27,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__medium__m2__seed7,medium,0.01,run
NOG-FO__medium__m2__seed8,NOG-FO,8,2,960,21,7b3a61aefe5d421812123717842d886cb12fa0e3183708c3beaa1c1e316968d6,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__medium__m2__seed8,medium,0.01,run
NOG-FO__medium__m2__seed9,NOG-FO,9,2,960,21,1b5033cf64c5a3bf554a3be347ef67f757656e8677e0e9450e050a00018a1196,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,30784,172032,True,,NOG-FO__medium__m2__seed9,medium,0.01,run
NOG-FO__medium__m4__seed0,NOG-FO,0,4,960,21,ae2a45e368d64442d347eaae4803ba0b8ae09a7276d6b1ce82a8d4a6980c6273,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__medium__m4__seed0,medium,0.01,run
NOG-FO__medium__m4__seed1,NOG-FO,1,4,960,21,df19d935fbb9a9bf07c91ccf6eeb2fe1c282f8b77e9e1d1cb52906953e0de6cc,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__medium__m4__seed1,medium,0.01,run
NOG-FO__medium__m4__seed2,NOG-FO,2,4,960,21,1805ae3ba81a7e20ce50f88637f76d2fcb12a07583e984d9ae27e87401f3eb57,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__medium__m4__seed2,medium,0.01,run
NOG-FO__medium__m4__seed3,NOG-FO,3,4,960,21,9dbbaf96ae14687073af12a5cb06b26b43c88d160992040a11560c1c077d23d0,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__medium__m4__seed3,medium,0.01,run
NOG-FO__medium__m4__seed4,NOG-FO,4,4,960,21,271629c7d51259c9543fb300a415642c2d52ac9fbf8834e0004ecd683d62e859,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__medium__m4__seed4,medium,0.01,run
NOG-FO__medium__m4__seed5,NOG-FO,5,4,960,21,61ada9b02851f2cd21d335d9eb2800b6297114b189de8133f2b3188f8e02d7e9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__medium__m4__seed5,medium,0.01,run
NOG-FO__medium__m4__seed6,NOG-FO,6,4,960,21,7932fa425bd9990f8305b077a9d8dd15e03dd57c0f8a75d03f16ca1fbd174785,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__medium__m4__seed6,medium,0.01,run
NOG-FO__medium__m4__seed7,NOG-FO,7,4,960,21,b14cddc9e34cfdf361a4a55e0e5f1631c210a1eb4157312560d58f25c5e6e3fc,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,9db9a8e640faa85b4e7a755776d1b127e4256e9826082f26f66cf340528278f9,962,61568,15392,172032,True,,NOG-FO__medium__m4__seed7,medium,0.01,run
