scope,method,epsilon,formal_seed,data_B_total,hit,first_hit_depth,first_hit_total_work,censoring_depth,censoring_total_work,final_stat_proxy
primary,ME-DOL-FO,0.00925,21,32,True,360,11520,15360,491520,0.006780536845326424
primary,ME-DOL-FO,0.00925,22,32,True,288,9216,15360,491520,0.006837442982941866
primary,ME-DOL-FO,0.00925,23,32,True,312,9984,15360,491520,0.007320919074118137
primary,ME-DOL-FO,0.00925,24,32,True,288,9216,15360,491520,0.006922985427081585
primary,ME-DOL-FO,0.00925,25,32,True,360,11520,15360,491520,0.007145357318222523
primary,ME-DOL-FO,0.00925,26,32,True,312,9984,15360,491520,0.007143888622522354
primary,ME-DOL-FO,0.00925,27,32,True,264,8448,15360,491520,0.007710553240031004
primary,ME-DOL-FO,0.00925,28,32,True,288,9216,15360,491520,0.006623066030442715
primary,ME-DOL-FO,0.00925,29,32,True,336,10752,15360,491520,0.008929075673222542
primary,ME-DOL-FO,0.00925,30,32,True,264,8448,15360,491520,0.00878112856298685
primary,ME-DOL-FO,0.00925,31,32,True,288,9216,15360,491520,0.007126675918698311
primary,ME-DOL-FO,0.00925,32,32,True,288,9216,15360,491520,0.007924375124275684
primary,ME-DOL-FO,0.00925,33,32,True,312,9984,15360,491520,0.00745540764182806
primary,ME-DOL-FO,0.00925,34,32,True,312,9984,15360,491520,0.008109373971819878
primary,ME-DOL-FO,0.00925,35,32,True,408,13056,15360,491520,0.008279915899038315
primary,ME-DOL-FO,0.00925,36,32,True,264,8448,15360,491520,0.007424409035593271
primary,ME-DOL-FO,0.00925,37,32,True,312,9984,15360,491520,0.00696494011208415
primary,ME-DOL-FO,0.00925,38,32,True,336,10752,15360,491520,0.008183176629245281
primary,ME-DOL-FO,0.00925,39,32,True,288,9216,15360,491520,0.007814537733793259
primary,ME-DOL-FO,0.00925,40,32,True,264,8448,15360,491520,0.006567697506397963
primary,ME-DOL-FO,0.00925,41,32,True,312,9984,15360,491520,0.007621251046657562
primary,ME-DOL-FO,0.00925,42,32,True,336,10752,15360,491520,0.007578411139547825
primary,ME-DOL-FO,0.00925,43,32,True,264,8448,15360,491520,0.007110272534191608
primary,ME-DOL-FO,0.00925,44,32,True,336,10752,15360,491520,0.007802268024533987
primary,ME-DOL-FO,0.00925,45,32,True,312,9984,15360,491520,0.007773191202431917
primary,ME-DOL-FO,0.00925,46,32,True,264,8448,15360,491520,0.008108350448310375
