method,formal_seed,checkpoints,final_depth,final_work,median_depth_gap,max_depth_gap,median_work_gap,max_work_gap,raw_floor,raw_floor_depth,raw_floor_work,raw_floor_work_fraction,confirmed_floor,confirmed_floor_depth,confirmed_floor_work,confirmed_floor_work_fraction,raw_to_confirmed_floor_gap,final_proxy,final_over_confirmed_floor,last_20_percent_proxy_slope,tail_improving,early_rebound,late_floor,extension_outlook
NOG-ZO,8,240,960,983040,4.0,4.0,4096.0,4096.0,0.0145061081275343,244,249856,0.25416666666666665,0.0152630731463432,240,245760,0.25,0.0007569650188089007,0.0328198187053203,2.150275923507805,0.023040780405337292,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,9,240,960,983040,4.0,4.0,4096.0,4096.0,0.0140419658273458,244,249856,0.25416666666666665,0.0144847221672534,244,249856,0.25416666666666665,0.0004427563399076011,0.0290010906755924,2.002184808291121,0.015508963472096168,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,10,240,960,983040,4.0,4.0,4096.0,4096.0,0.0134137663990259,244,249856,0.25416666666666665,0.014420143328607,244,249856,0.25416666666666665,0.0010063769295811011,0.0307480581104755,2.132299063177605,0.027926182896028228,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,11,240,960,983040,4.0,4.0,4096.0,4096.0,0.0148871187120676,244,249856,0.25416666666666665,0.0155353555455803,240,245760,0.25,0.0006482368335126998,0.0297612994909286,1.915714088654732,0.007311561869969355,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,12,240,960,983040,4.0,4.0,4096.0,4096.0,0.0136038456112146,244,249856,0.25416666666666665,0.0144444210454821,244,249856,0.25416666666666665,0.0008405754342675001,0.0322079882025718,2.2297874107350086,0.040059355744720686,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,13,240,960,983040,4.0,4.0,4096.0,4096.0,0.0143788121640682,248,253952,0.25833333333333336,0.0152509836480021,248,253952,0.25833333333333336,0.0008721714839339013,0.0279574785381555,1.833159039667449,-0.006326820921351774,True,True,False,extension_unlikely_without_stability_change
NOG-ZO,14,240,960,983040,4.0,4.0,4096.0,4096.0,0.015987167134881,244,249856,0.25416666666666665,0.0163768623024225,240,245760,0.25,0.00038969516754150044,0.0277630630880594,1.6952614350279194,-0.017580727177550243,True,True,False,extension_unlikely_without_stability_change
NOG-ZO,15,240,960,983040,4.0,4.0,4096.0,4096.0,0.013862244784832,248,253952,0.25833333333333336,0.0146319027990102,244,249856,0.25416666666666665,0.0007696580141781997,0.0305744800716638,2.0895764885570496,-1.6918972852837347e-05,True,True,False,extension_unlikely_without_stability_change
NOG-ZO,16,240,960,983040,4.0,4.0,4096.0,4096.0,0.0138391572982072,244,249856,0.25416666666666665,0.0146314976736903,244,249856,0.25416666666666665,0.0007923403754831002,0.0268129687756299,1.8325512106558834,0.002881031421943638,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,17,240,960,983040,4.0,4.0,4096.0,4096.0,0.0150975780561566,248,253952,0.25833333333333336,0.0155069595202803,244,249856,0.25416666666666665,0.00040938146412369987,0.0299408566206693,1.9308012367938454,0.020732312991768698,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,18,240,960,983040,4.0,4.0,4096.0,4096.0,0.0157040394842624,244,249856,0.25416666666666665,0.0163588859140872,244,249856,0.25416666666666665,0.0006548464298247979,0.0280638504773378,1.7155111066072692,0.00027092288543848354,False,True,False,extension_unlikely_without_stability_change
NOG-ZO,19,240,960,983040,4.0,4.0,4096.0,4096.0,0.0139936059713363,244,249856,0.25416666666666665,0.0144476415589451,244,249856,0.25416666666666665,0.0004540355876087986,0.0281308237463235,1.9470876012221252,-0.02063330195769757,True,True,False,extension_unlikely_without_stability_change
