method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
NOG-ZO,5,0.014,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.013,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.012,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.0115,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.011,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.01075,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.0105,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.01025,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.01,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.0095,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.009,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.008,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.007,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.006,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.005,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.004,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.003,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,5,0.002,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.2,True,104.0,106496.0,0.1978710889816284,960.0,983040.0,104.0,106496.0
NOG-ZO,6,0.18,True,120.0,122880.0,0.1795960068702697,960.0,983040.0,120.0,122880.0
NOG-ZO,6,0.16,True,140.0,143360.0,0.1547412872314453,960.0,983040.0,140.0,143360.0
NOG-ZO,6,0.14,True,152.0,155648.0,0.1383028626441955,960.0,983040.0,152.0,155648.0
NOG-ZO,6,0.12,True,168.0,172032.0,0.1158725321292877,960.0,983040.0,168.0,172032.0
NOG-ZO,6,0.1,True,180.0,184320.0,0.0980694964528083,960.0,983040.0,180.0,184320.0
NOG-ZO,6,0.09,True,188.0,192512.0,0.0862560495734214,960.0,983040.0,188.0,192512.0
NOG-ZO,6,0.08,True,192.0,196608.0,0.0798430815339088,960.0,983040.0,192.0,196608.0
NOG-ZO,6,0.07,True,200.0,204800.0,0.0678930953145027,960.0,983040.0,200.0,204800.0
NOG-ZO,6,0.06,True,208.0,212992.0,0.0556014366447925,960.0,983040.0,208.0,212992.0
NOG-ZO,6,0.05,True,212.0,217088.0,0.0498092211782932,960.0,983040.0,212.0,217088.0
NOG-ZO,6,0.04,True,220.0,225280.0,0.0380125194787979,960.0,983040.0,220.0,225280.0
NOG-ZO,6,0.03,True,228.0,233472.0,0.0271396767348051,960.0,983040.0,228.0,233472.0
NOG-ZO,6,0.025,True,232.0,237568.0,0.0221124310046434,960.0,983040.0,232.0,237568.0
NOG-ZO,6,0.02,True,236.0,241664.0,0.0180531293153762,960.0,983040.0,236.0,241664.0
NOG-ZO,6,0.018,True,240.0,245760.0,0.0150774046778678,960.0,983040.0,240.0,245760.0
NOG-ZO,6,0.016,True,240.0,245760.0,0.0150774046778678,960.0,983040.0,240.0,245760.0
NOG-ZO,6,0.015,True,244.0,249856.0,0.0137605490162968,960.0,983040.0,244.0,249856.0
NOG-ZO,6,0.014,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.013,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.012,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.0115,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.011,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.01075,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.0105,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.01025,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.01,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.0095,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,6,0.009,False,,,,960.0,983040.0,960.0,983040.0
