method,base_method,iteration,round,worker_count,eval_point,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,delta,lr_or_eta,small_batch,large_batch,restart_period,restart_mixing_rounds,candidate_id,candidate_parameters,batch_size,epoch_length,domain_radius,theory_multiplier
DGFM+,DGFM+,384,384,8,x_bar,27.54998207092285,101,100101,200101,845318908,szo,126976,126976,15872,"[15872, 15872, 15872, 15872, 15872, 15872, 15872, 15872]",73728,768,768,0.7267836928367615,0.0109572252258658,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,432,432,8,x_bar,31.110474586486816,101,100101,200101,845318908,szo,142848,142848,17856,"[17856, 17856, 17856, 17856, 17856, 17856, 17856, 17856]",81920,864,864,0.7267959713935852,0.0115647763013839,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,480,480,8,x_bar,34.58977508544922,101,100101,200101,845318908,szo,158720,158720,19840,"[19840, 19840, 19840, 19840, 19840, 19840, 19840, 19840]",90112,960,960,0.7268092036247253,0.0103706670925021,0.1,0.001,8.0,128.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-128__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 128, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,1,1,8,x_bar,0.4337193965911865,100,100100,200100,1225827990,szo,1024,1024,128,"[128, 128, 128, 128, 128, 128, 128, 128]",8192,2,2,0.7314557433128357,0.0098437778651714,0.1,0.001,8.0,64.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,48,48,8,x_bar,3.2911217212677,100,100100,200100,1225827990,szo,13824,13824,1728,"[1728, 1728, 1728, 1728, 1728, 1728, 1728, 1728]",16384,96,96,0.7315212488174438,0.0113385915756225,0.1,0.001,8.0,64.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,96,96,8,x_bar,6.358439922332764,100,100100,200100,1225827990,szo,27648,27648,3456,"[3456, 3456, 3456, 3456, 3456, 3456, 3456, 3456]",24576,192,192,0.7315481305122375,0.0108960904181003,0.1,0.001,8.0,64.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,144,144,8,x_bar,9.440718173980711,100,100100,200100,1225827990,szo,41472,41472,5184,"[5184, 5184, 5184, 5184, 5184, 5184, 5184, 5184]",32768,288,288,0.7315659523010254,0.0099807307124137,0.1,0.001,8.0,64.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,192,192,8,x_bar,12.580347299575806,100,100100,200100,1225827990,szo,55296,55296,6912,"[6912, 6912, 6912, 6912, 6912, 6912, 6912, 6912]",40960,384,384,0.7315952181816101,0.0110246380791068,0.1,0.001,8.0,64.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,240,240,8,x_bar,15.707527160644531,100,100100,200100,1225827990,szo,69120,69120,8640,"[8640, 8640, 8640, 8640, 8640, 8640, 8640, 8640]",49152,480,480,0.7316074371337891,0.0105657009407877,0.1,0.001,8.0,64.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,288,288,8,x_bar,18.847999811172485,100,100100,200100,1225827990,szo,82944,82944,10368,"[10368, 10368, 10368, 10368, 10368, 10368, 10368, 10368]",57344,576,576,0.7316206097602844,0.0102775832638144,0.1,0.001,8.0,64.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
DGFM+,DGFM+,336,336,8,x_bar,21.95766925811768,100,100100,200100,1225827990,szo,96768,96768,12096,"[12096, 12096, 12096, 12096, 12096, 12096, 12096, 12096]",65536,672,672,0.7316502332687378,0.0111489035189151,0.1,0.001,8.0,64.0,24.0,1.0,DGFMplus__eta-0p001__large_batch-64__restart_mixing_rounds-1__restart_period-24__small_batch-8,"{""eta"": 0.001, ""large_batch"": 64, ""restart_mixing_rounds"": 1, ""restart_period"": 24, ""small_batch"": 8}",,,,
