method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,test_accuracy,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,batch_size,seed_role,small_batch,large_batch,restart_period,restart_mixing_rounds,epoch_length,domain_radius,theory_multiplier,smooth_B,data_B_per_worker
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,12,100012,200012,1797408676,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.35593724250793457,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.2917048931121826,12,100012,200012,1797408676,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.939444661140442,0.3559372425079345,0.002,0.7592518925666809,0.7638965845108032,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,5.180276155471802,12,100012,200012,1797408676,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3973991274833679,0.0442628264427185,0.002,0.8265102505683899,0.8288188576698303,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,9.980867385864258,12,100012,200012,1797408676,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3812110722064972,0.0181835331022739,0.002,0.834740936756134,0.838707685470581,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,14.768075227737429,12,100012,200012,1797408676,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3763415217399597,0.036545418202877,0.002,0.8368907570838928,0.8388919830322266,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1536,1536,,8,x_bar,0.002,0.002,0.001,,0.5,,19.693780422210693,12,100012,200012,1797408676,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3788682520389557,0.0132673066109418,0.002,0.8370136022567749,0.8400589823722839,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1920,1920,,8,x_bar,0.002,0.002,0.001,,0.5,,24.78375649452209,12,100012,200012,1797408676,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3730337619781494,0.0111705753952264,0.002,0.8390098810195923,0.84128737449646,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2304,2304,,8,x_bar,0.002,0.002,0.001,,0.5,,29.667073488235477,12,100012,200012,1797408676,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3767043054103851,0.0107176583260297,0.002,0.8384877443313599,0.8426386713981628,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2688,2688,,8,x_bar,0.002,0.002,0.001,,0.5,,34.88720226287842,12,100012,200012,1797408676,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.372580885887146,0.0137152969837188,0.002,0.8405147194862366,0.8436828255653381,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3072,3072,,8,x_bar,0.002,0.002,0.001,,0.5,,39.98995113372803,12,100012,200012,1797408676,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3732646703720093,0.0187921151518821,0.002,0.8420196175575256,0.8436213731765747,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3456,3456,,8,x_bar,0.002,0.002,0.001,,0.5,,45.17775106430054,12,100012,200012,1797408676,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3798908293247223,0.0154155977070331,0.002,0.8384877443313599,0.8422701358795166,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3840,3840,,8,x_bar,0.002,0.002,0.001,,0.5,,50.20215892791748,12,100012,200012,1797408676,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.374573677778244,0.0194968376308679,0.002,0.8410675525665283,0.8451569080352783,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,13,100013,200013,844553104,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.3512631356716156,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.3046784400939941,13,100013,200013,844553104,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9314016699790956,0.3512631356716156,0.002,0.7591597437858582,0.7636508941650391,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,5.31913948059082,13,100013,200013,844553104,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.4021158814430237,0.0218854788690805,0.002,0.8278615474700928,0.8306000828742981,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,10.416975259780884,13,100013,200013,844553104,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3840322196483612,0.0157505609095096,0.002,0.8348330855369568,0.8366807699203491,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,15.614762544631958,13,100013,200013,844553104,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.373153954744339,0.0168784894049167,0.002,0.8380270600318909,0.8412259817123413,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1536,1536,,8,x_bar,0.002,0.002,0.001,,0.5,,21.11678719520569,13,100013,200013,844553104,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3741644024848938,0.0182932205498218,0.002,0.8368907570838928,0.8396289944648743,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1920,1920,,8,x_bar,0.002,0.002,0.001,,0.5,,26.326961517333984,13,100013,200013,844553104,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3778555393218994,0.0308926161378622,0.002,0.8382728099822998,0.8385234475135803,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2304,2304,,8,x_bar,0.002,0.002,0.001,,0.5,,31.92379665374756,13,100013,200013,844553104,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3768195509910583,0.0253694988787174,0.002,0.8392862677574158,0.8430072069168091,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2688,2688,,8,x_bar,0.002,0.002,0.001,,0.5,,37.60259366035461,13,100013,200013,844553104,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3714208602905273,0.0088364304974675,0.002,0.8407604098320007,0.8433757424354553,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3072,3072,,8,x_bar,0.002,0.002,0.001,,0.5,,43.11564326286316,13,100013,200013,844553104,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3732043206691742,0.0098204994574189,0.002,0.8427873849868774,0.8430685997009277,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3456,3456,,8,x_bar,0.002,0.002,0.001,,0.5,,48.616830348968506,13,100013,200013,844553104,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3727121949195862,0.0134707195684313,0.002,0.8430637717247009,0.8436213731765747,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3840,3840,,8,x_bar,0.002,0.002,0.001,,0.5,,54.69272518157959,13,100013,200013,844553104,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3705806136131286,0.0170281995087862,0.002,0.8417739272117615,0.8447884321212769,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,14,100014,200014,841622890,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.3661241829395294,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.2822167873382568,14,100014,200014,841622890,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9129633903503418,0.3661241829395294,0.002,0.7585455179214478,0.7633437514305115,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,5.300602674484253,14,100014,200014,841622890,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3883881270885467,0.0192455481737852,0.002,0.8322840332984924,0.8344082236289978,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,10.375211477279665,14,100014,200014,841622890,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3728371262550354,0.0178975909948349,0.002,0.8384877443313599,0.8423315286636353,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,15.302894353866575,14,100014,200014,841622890,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3756957054138183,0.0113683510571718,0.002,0.8361843824386597,0.8409802913665771,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1536,1536,,8,x_bar,0.002,0.002,0.001,,0.5,,20.39787530899048,14,100014,200014,841622890,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.376273363828659,0.016348510980606,0.002,0.8387027382850647,0.8423315286636353,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1920,1920,,8,x_bar,0.002,0.002,0.001,,0.5,,25.294569492340088,14,100014,200014,841622890,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3773702979087829,0.0171753317117691,0.002,0.8384877443313599,0.8432528972625732,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2304,2304,,8,x_bar,0.002,0.002,0.001,,0.5,,30.20252561569214,14,100014,200014,841622890,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.374227225780487,0.0107340784743428,0.002,0.8394091129302979,0.8412259817123413,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2688,2688,,8,x_bar,0.002,0.002,0.001,,0.5,,35.398261070251465,14,100014,200014,841622890,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3738569915294647,0.0086759915575385,0.002,0.8408832550048828,0.8417173624038696,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3072,3072,,8,x_bar,0.002,0.002,0.001,,0.5,,40.49819874763489,14,100014,200014,841622890,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.372594803571701,0.0092130685225129,0.002,0.8404840230941772,0.8433757424354553,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3456,3456,,8,x_bar,0.002,0.002,0.001,,0.5,,45.70339560508728,14,100014,200014,841622890,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3729673326015472,0.0259315334260463,0.002,0.8405454158782959,0.8436213731765747,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3840,3840,,8,x_bar,0.002,0.002,0.001,,0.5,,51.08446669578552,14,100014,200014,841622890,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3759964406490326,0.0200558584183454,0.002,0.8404533267021179,0.8410416841506958,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,15,100015,200015,1429324650,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.3569955825805664,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.2686307430267334,15,100015,200015,1429324650,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9201388955116272,0.3569956123828888,0.002,0.7591904401779175,0.7637737393379211,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,4.99599289894104,15,100015,200015,1429324650,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3908411860466003,0.0176085624843835,0.002,0.8320383429527283,0.8344082236289978,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,9.579137802124023,15,100015,200015,1429324650,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.379587173461914,0.0269621014595031,0.002,0.8368293642997742,0.8380934596061707,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,14.299418926239014,15,100015,200015,1429324650,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3759346902370453,0.0201557651162147,0.002,0.8397776484489441,0.8409802913665771,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1536,1536,,8,x_bar,0.002,0.002,0.001,,0.5,,19.09459352493286,15,100015,200015,1429324650,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3779741823673248,0.015031598508358,0.002,0.8393169641494751,0.8396904468536377,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1920,1920,,8,x_bar,0.002,0.002,0.001,,0.5,,23.700631380081177,15,100015,200015,1429324650,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3738670647144317,0.0105973687022924,0.002,0.8383342027664185,0.8418402075767517,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2304,2304,,8,x_bar,0.002,0.002,0.001,,0.5,,28.29999208450317,15,100015,200015,1429324650,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3751261234283447,0.0359486266970634,0.002,0.8399004936218262,0.8410416841506958,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2688,2688,,8,x_bar,0.002,0.002,0.001,,0.5,,33.09519410133362,15,100015,200015,1429324650,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.369243860244751,0.0182264130562543,0.002,0.8419274687767029,0.8463239073753357,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3072,3072,,8,x_bar,0.002,0.002,0.001,,0.5,,37.99938917160034,15,100015,200015,1429324650,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3707778453826904,0.0121123669669032,0.002,0.8415589332580566,0.8431300520896912,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3456,3456,,8,x_bar,0.002,0.002,0.001,,0.5,,42.8013608455658,15,100015,200015,1429324650,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3703201413154602,0.0103435376659035,0.002,0.8416817784309387,0.842884361743927,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3840,3840,,8,x_bar,0.002,0.002,0.001,,0.5,,47.900819063186646,15,100015,200015,1429324650,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3698522448539734,0.007930445484817,0.002,0.8408525586128235,0.8432528972625732,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,16,100016,200016,1224196349,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.3646589517593384,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.3920502662658691,16,100016,200016,1224196349,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.947958528995514,0.3646589517593384,0.002,0.7577162981033325,0.7619310617446899,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,6.774337530136108,16,100016,200016,1224196349,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.4088151752948761,0.0234096478670835,0.002,0.8263874053955078,0.8286346197128296,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,11.193392992019652,16,100016,200016,1224196349,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3850759267807007,0.0168899130076169,0.002,0.8340038657188416,0.838707685470581,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,16.177401065826416,16,100016,200016,1224196349,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3782811760902405,0.0159516558051109,0.002,0.8372899889945984,0.8408574461936951,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1536,1536,,8,x_bar,0.002,0.002,0.001,,0.5,,21.17023587226868,16,100016,200016,1224196349,szo,393216,393216,49152,"[49152, 49152, 49152, 49152, 49152, 49152, 49152, 49152]",40960,3072,3072,0.3741571009159088,0.0243050698190927,0.002,0.8394091129302979,0.8408574461936951,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1920,1920,,8,x_bar,0.002,0.002,0.001,,0.5,,25.77126932144165,16,100016,200016,1224196349,szo,491520,491520,61440,"[61440, 61440, 61440, 61440, 61440, 61440, 61440, 61440]",49152,3840,3840,0.3737497329711914,0.0313135869801044,0.002,0.8399926424026489,0.8439285159111023,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2304,2304,,8,x_bar,0.002,0.002,0.001,,0.5,,30.49580430984497,16,100016,200016,1224196349,szo,589824,589824,73728,"[73728, 73728, 73728, 73728, 73728, 73728, 73728, 73728]",57344,4608,4608,0.3724156618118286,0.0108916293829679,0.002,0.8410675525665283,0.8413488268852234,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,2688,2688,,8,x_bar,0.002,0.002,0.001,,0.5,,35.19905424118042,16,100016,200016,1224196349,szo,688128,688128,86016,"[86016, 86016, 86016, 86016, 86016, 86016, 86016, 86016]",65536,5376,5376,0.3687022626399994,0.0129158478230237,0.002,0.8434016108512878,0.845586895942688,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3072,3072,,8,x_bar,0.002,0.002,0.001,,0.5,,39.8810338973999,16,100016,200016,1224196349,szo,786432,786432,98304,"[98304, 98304, 98304, 98304, 98304, 98304, 98304, 98304]",73728,6144,6144,0.3801650702953338,0.0233304817229509,0.002,0.8387027382850647,0.8372949957847595,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3456,3456,,8,x_bar,0.002,0.002,0.001,,0.5,,44.6951277256012,16,100016,200016,1224196349,szo,884736,884736,110592,"[110592, 110592, 110592, 110592, 110592, 110592, 110592, 110592]",81920,6912,6912,0.3706234097480774,0.0171264894306659,0.002,0.8405147194862366,0.8432528972625732,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,3840,3840,,8,x_bar,0.002,0.002,0.001,,0.5,,49.29712533950806,16,100016,200016,1224196349,szo,983040,983040,122880,"[122880, 122880, 122880, 122880, 122880, 122880, 122880, 122880]",90112,7680,7680,0.3733099699020386,0.0200841594487428,0.002,0.8386720418930054,0.8404275178909302,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,0,0,,8,x0_exact,,,,,,,0.0,17,100017,200017,296256489,szo,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8192,0,0,1.0,0.3612540364265442,0.002,0.24080955982208252,0.23622627556324005,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1,1,,8,x_bar,0.002,0.002,0.001,,0.5,,0.3085279464721679,17,100017,200017,296256489,szo,256,256,32,"[32, 32, 32, 32, 32, 32, 32, 32]",8192,2,2,0.9528679251670836,0.3612540364265442,0.002,0.7561807036399841,0.7610712051391602,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,384,384,,8,x_bar,0.002,0.002,0.001,,0.5,,5.424326419830322,17,100017,200017,296256489,szo,98304,98304,12288,"[12288, 12288, 12288, 12288, 12288, 12288, 12288, 12288]",16384,768,768,0.3951170444488525,0.0218957811594009,0.002,0.8318540453910828,0.8333640694618225,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,768,768,,8,x_bar,0.002,0.002,0.001,,0.5,,10.71215534210205,17,100017,200017,296256489,szo,196608,196608,24576,"[24576, 24576, 24576, 24576, 24576, 24576, 24576, 24576]",24576,1536,1536,0.3843585550785064,0.0200918428599834,0.002,0.8339731693267822,0.8351452350616455,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
DGFM,DGFM,1152,1152,,8,x_bar,0.002,0.002,0.001,,0.5,,15.524613618850708,17,100017,200017,296256489,szo,294912,294912,36864,"[36864, 36864, 36864, 36864, 36864, 36864, 36864, 36864]",32768,2304,2304,0.3874255418777466,0.0307850185781717,0.002,0.8344338536262512,0.834653913974762,DGFM__eta-0p5,"{""eta"": 0.5}",3840,983040,a9a,16.0,real_data_supplement_formal,,,,,,,,,
