dataset,search_seed,candidate_id,candidate_parameters,epsilon_25,epsilon_50,epsilon_75,epsilon_100,actual_work_25,actual_work_50,actual_work_75,actual_work_100,final_epsilon,final_depth,final_work,log_epsilon_score
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-9em06__smooth_B-4,"{""M"": 2, ""data_B_total"": 64, ""eta"": 9e-06, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,198656,444416,690176,983040,0.3627978265285492,1920,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-2__data_B_total-64__eta-9em06__smooth_B-8,"{""M"": 2, ""data_B_total"": 64, ""eta"": 9e-06, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,200704,397312,692224,983040,0.3627978265285492,960,983040,-1.0139095515844887
a9a,401,NOG-ZO__M-4__data_B_total-128__eta-0p0003__smooth_B-1,"{""M"": 4, ""data_B_total"": 128, ""eta"": 0.0003, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,222720,468480,714240,982528,0.3627978265285492,3838,982528,-1.0139095515844887
a9a,401,NOG-ZO__M-4__data_B_total-128__eta-0p0003__smooth_B-2,"{""M"": 4, ""data_B_total"": 128, ""eta"": 0.0003, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,199680,445440,691200,982016,0.3627978265285492,1918,982016,-1.0139095515844887
a9a,401,NOG-ZO__M-4__data_B_total-128__eta-0p0003__smooth_B-4,"{""M"": 4, ""data_B_total"": 128, ""eta"": 0.0003, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,202752,399360,694272,980992,0.3627978265285492,958,980992,-1.0139095515844887
a9a,401,NOG-ZO__M-4__data_B_total-128__eta-0p0003__smooth_B-8,"{""M"": 4, ""data_B_total"": 128, ""eta"": 0.0003, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,208896,405504,602112,978944,0.3627978265285492,478,978944,-1.0139095515844887
a9a,401,NOG-ZO__M-4__data_B_total-128__eta-0p0009__smooth_B-1,"{""M"": 4, ""data_B_total"": 128, ""eta"": 0.0009, ""smooth_B"": 1}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,222720,468480,714240,982528,0.3627978265285492,3838,982528,-1.0139095515844887
a9a,401,NOG-ZO__M-4__data_B_total-128__eta-0p0009__smooth_B-2,"{""M"": 4, ""data_B_total"": 128, ""eta"": 0.0009, ""smooth_B"": 2}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,199680,445440,691200,982016,0.3627978265285492,1918,982016,-1.0139095515844887
a9a,401,NOG-ZO__M-4__data_B_total-128__eta-0p0009__smooth_B-4,"{""M"": 4, ""data_B_total"": 128, ""eta"": 0.0009, ""smooth_B"": 4}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,202752,399360,694272,980992,0.3627978265285492,958,980992,-1.0139095515844887
a9a,401,NOG-ZO__M-4__data_B_total-128__eta-0p0009__smooth_B-8,"{""M"": 4, ""data_B_total"": 128, ""eta"": 0.0009, ""smooth_B"": 8}",0.3627978265285492,0.3627978265285492,0.3627978265285492,0.3627978265285492,208896,405504,602112,978944,0.3627978265285492,478,978944,-1.0139095515844887
