formal_config_id,method,epsilon,delta,formal_seed,worker_count,parameters,pilot_selection_status,confirmed_consecutive,hit,censored,first_hit_iteration,first_hit_depth,first_hit_total_work,first_hit_per_worker_work,first_hit_training_time,first_hit_stat_proxy,final_iteration,final_depth,final_total_work,final_per_worker_work,final_stat_proxy,end_to_end_time
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-bf7a41c99cdf,NOG-FO,0.01,0.1,3,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,52,54,27648,3456,2.0506599843502045,0.007027472835034132,960,962,492544,61568,0.007328330539166927,36.907222121953964
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-bf7a41c99cdf,NOG-FO,0.01,0.1,4,8,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,52,54,27648,3456,2.0202533900737762,0.00796276330947876,960,962,492544,61568,0.008073434233665466,37.33388330042362
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0.008,0.1,0,8,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,56,58,29696,3712,2.137617990374565,0.007254057563841343,960,962,492544,61568,0.006818064022809267,37.15227957069874
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0.0075,0.1,0,8,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,56,58,29696,3712,2.137617990374565,0.007254057563841343,960,962,492544,61568,0.006818064022809267,37.15227957069874
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0.008,0.1,1,8,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,104,106,54272,6784,3.74644111096859,0.007801193278282881,960,962,492544,61568,0.007575467694550753,36.509255573153496
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0.0075,0.1,1,8,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,False,True,,,,,,,960,962,492544,61568,0.007575467694550753,36.509255573153496
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0.008,0.1,2,8,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,56,58,29696,3712,2.010781928896904,0.007520376704633236,960,962,492544,61568,0.007436948362737894,103.02532887458801
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0.0075,0.1,2,8,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,104,106,54272,6784,3.5940759778022766,0.007427383214235306,960,962,492544,61568,0.007436948362737894,103.02532887458801
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0.008,0.1,3,8,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,56,58,29696,3712,2.1745251417160034,0.007115048356354237,960,962,492544,61568,0.006731826346367598,40.71845357120037
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0.0075,0.1,3,8,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,56,58,29696,3712,2.1745251417160034,0.007115048356354237,960,962,492544,61568,0.006731826346367598,40.71845357120037
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0.008,0.1,4,8,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,56,58,29696,3712,2.1550129801034927,0.007804641034454107,960,962,492544,61568,0.0074330829083919525,36.56153129041195
NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__frozen-cbb2f9ab5aca,NOG-FO,0.0075,0.1,4,8,"{""M"": 8, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 8}",full-hit,2,True,False,152,154,78848,9856,5.1483805030584335,0.0074783568270504475,960,962,492544,61568,0.0074330829083919525,36.56153129041195
