formal_config_id,method,formal_seed,worker_count,parameters,iteration,depth,total_work,per_worker_work,eval_work,training_time,communication_time,evaluation_time,objective,stat_proxy
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",876,876,7008,876,155648,28.47012710571289,2.5643808245658875,0.9119396358728409,0.7329187393188477,0.009129961021244526
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",924,924,7392,924,163840,30.221109330654144,2.712731420993805,0.9555529057979584,0.7329212427139282,0.00912109948694706
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",972,972,7776,972,172032,31.787587389349937,2.8414630740880966,0.9987601339817047,0.7328798174858093,0.008793219923973083
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1020,1020,8160,1020,180224,33.4774659126997,2.9865331947803497,1.0446620434522629,0.7328598499298096,0.008803478442132473
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1068,1068,8544,1068,188416,34.98304082453251,3.1225667595863342,1.0875551998615265,0.7328103184700012,0.008739739656448364
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1116,1116,8928,1116,196608,36.538706332445145,3.2737233638763428,1.1277064085006714,0.7328041791915894,0.008630026131868362
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1164,1164,9312,1164,204800,38.05374538898468,3.40670545399189,1.1718267649412155,0.7327955961227417,0.008534668013453484
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1212,1212,9696,1212,212992,39.51174305379391,3.5369662195444107,1.2197822481393814,0.7327931523323059,0.008463305421173573
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1260,1260,10080,1260,221184,41.12939436733723,3.687535211443901,1.2755196690559387,0.7327877283096313,0.0083785904571414
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1308,1308,10464,1308,229376,42.54776765406132,3.820627138018608,1.3197968155145645,0.7328163385391235,0.008372245356440544
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1356,1356,10848,1356,237568,44.00058172643185,3.951130211353302,1.3660501837730408,0.7328168153762817,0.00836286973208189
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1404,1404,11232,1404,245760,45.709008783102036,4.081928879022598,1.41286700963974,0.7327932119369507,0.008461909368634224
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1452,1452,11616,1452,253952,47.2854710072279,4.216507151722908,1.4578524380922318,0.732776939868927,0.008354919031262398
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1500,1500,12000,1500,262144,48.75877349078655,4.356223896145821,1.5002063512802124,0.7327768206596375,0.008324122987687588
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1548,1548,12384,1548,270336,50.219288885593414,4.4852196872234344,1.542215034365654,0.732740581035614,0.008488423191010952
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1596,1596,12768,1596,278528,51.74753421545029,4.616033807396889,1.6045951396226883,0.7327052354812622,0.008301043882966042
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1644,1644,13152,1644,286720,53.21636778116226,4.747657269239426,1.647704005241394,0.7327027320861816,0.008245298638939857
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1692,1692,13536,1692,294912,54.70858262479305,4.894672676920891,1.6872814148664474,0.7327017188072205,0.008152122609317303
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1740,1740,13920,1740,303104,56.183676809072495,5.018805712461472,1.7394210994243622,0.732703447341919,0.008226395584642887
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1788,1788,14304,1788,311296,57.74500451982021,5.1701604425907135,1.7872506827116013,0.73269122838974,0.00816373061388731
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1836,1836,14688,1836,319488,59.19459880888462,5.294944182038307,1.8311414867639542,0.7326854467391968,0.007963559590280056
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1884,1884,15072,1884,327680,60.678185150027275,5.4359088987112045,1.876565471291542,0.732679545879364,0.0080146174877882
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,1,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,1920,15360,1920,335872,61.78256896138191,5.535219788551331,1.9189373552799225,0.732673168182373,0.008190380409359932
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,2,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",12,12,96,12,8192,0.6213931441307068,0.06166325509548187,0.04374821484088898,0.7267449498176575,0.010052128694951534
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,2,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",60,60,480,60,16384,2.057800054550171,0.20905029773712158,0.08510535955429077,0.7268495559692383,0.009990239515900612
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,2,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",108,108,864,108,24576,3.46895232796669,0.33827832341194153,0.1283266544342041,0.7268689870834351,0.009974953718483448
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,2,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",156,156,1248,156,32768,4.92159004509449,0.46961431205272675,0.17002324759960175,0.7269066572189331,0.009736419655382633
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,2,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",204,204,1632,204,40960,6.342396020889282,0.5988568812608719,0.21360455453395844,0.7269035577774048,0.00969377439469099
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,2,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",252,252,2016,252,49152,7.856713056564331,0.7259127795696259,0.2600410282611847,0.7269260883331299,0.009723512455821037
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__frozen-f1b9b7cb1027,ME-DOL-FO,2,8,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",300,300,2400,300,57344,9.40901280939579,0.8759790062904358,0.30406463146209717,0.726931095123291,0.009525871835649014
