dimension,baseline,ratio_direction,epsilon,scope,paired_hits,total_seeds,complete_pairing,paired_seeds,mean_depth_ratio,sd_depth_ratio,depth_ratio_ci_low,depth_ratio_ci_high,mean_work_ratio,sd_work_ratio,work_ratio_ci_low,work_ratio_ci_high
50,DGFM,DGFM/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
50,DGFM+,DGFM+/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.799130434782609,0.6041706136060546,6.539530193236715,7.057369565217391,0.9052490942028986,0.08013872765093447,0.8716594957729469,0.9402730223429953
50,DGFM+,DGFM+/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",9.724404761904761,1.3362268616756259,9.16171556122449,10.286815476190474,1.2931757546768707,0.17766949818121325,1.2187610743516153,1.3706467235331632
50,DGFM+,DGFM+/NOG-ZO,0.02,descriptive,0,20,False,,,,,,,,,
50,DGFM+,DGFM+/NOG-ZO,0.018,descriptive,0,20,False,,,,,,,,,
50,DGFM+,DGFM+/NOG-ZO,0.016,descriptive,0,20,False,,,,,,,,,
50,DGFM+,DGFM+/NOG-ZO,0.015,descriptive,0,20,False,,,,,,,,,
50,DGFM+,DGFM+/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
100,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.3144654088050314,0.07336816850691341,2.284329140461216,2.3453891509433964,0.5786163522012578,0.018342042126728353,0.5709083464360587,0.5865179507337527
100,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.7172413793103454,0.112135857968664,2.6669010889292197,2.7647958257713245,0.6793103448275863,0.028033964492166,0.6672748411978221,0.6906922073502723
100,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.02,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.290889830508475,0.19826445656075156,3.206329449152543,3.374619703389831,0.8227224576271187,0.04956611414018789,0.8011962394067796,0.8445349576271186
100,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.018,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.5465601555987774,0.23528938431372606,3.4496271186440675,3.650982286746318,0.8866400388996943,0.058822346078431516,0.8623458686440677,0.9131255296610167
100,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.016,descriptive,18,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,19",4.153460837887067,0.5255940968874411,3.9206272768670307,4.392133424408015,1.0383652094717668,0.13139852422186027,0.9825145150273223,1.09666325136612
