dimension,method,epsilon,scope,seeds,hits,hit_rate,mean_first_hit_depth,sd_first_hit_depth,mean_first_hit_work,sd_first_hit_work,mean_capped_depth,sd_capped_depth,mean_capped_work,sd_capped_work
100,DGFM,0.018,descriptive,20,20,1.0,2111.6,95.31245017254953,270284.8,12199.99362208634,2111.6,95.31245017254953,270284.8,12199.99362208634
100,DGFM,0.016,descriptive,20,20,1.0,2270.0,112.1465207006582,290560.0,14354.75464968425,2270.0,112.1465207006582,290560.0,14354.75464968425
100,DGFM,0.015,descriptive,20,20,1.0,2392.8,120.12344527719456,306278.4,15375.800995480904,2392.8,120.12344527719456,306278.4,15375.800995480904
100,DGFM,0.01,descriptive,20,0,0.0,,,,,7680.0,0.0,983040.0,0.0
100,DGFM+,0.05,primary,20,20,1.0,1410.0,107.17030224931965,192076.8,14661.942808006828,1410.0,107.17030224931965,192076.8,14661.942808006828
100,DGFM+,0.03,primary,20,20,1.0,2609.6,574.6334667008455,355302.4,78175.37960414795,2609.6,574.6334667008455,355302.4,78175.37960414795
100,DGFM+,0.02,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
100,DGFM+,0.018,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
100,DGFM+,0.016,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
100,DGFM+,0.015,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
100,DGFM+,0.01,descriptive,20,0,0.0,,,,,7224.0,0.0,983040.0,0.0
