dimension,method,formal_seed,epsilon,scope,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
25,NOG-ZO,13,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,14,0.05,primary,True,148.0,151552.0,0.0484485514461994,960.0,983040.0,148.0,151552.0
25,NOG-ZO,14,0.03,primary,True,160.0,163840.0,0.0249047353863716,960.0,983040.0,160.0,163840.0
25,NOG-ZO,14,0.02,descriptive,True,164.0,167936.0,0.0181765668094158,960.0,983040.0,164.0,167936.0
25,NOG-ZO,14,0.018,descriptive,True,168.0,172032.0,0.013129036873579,960.0,983040.0,168.0,172032.0
25,NOG-ZO,14,0.016,descriptive,True,168.0,172032.0,0.013129036873579,960.0,983040.0,168.0,172032.0
25,NOG-ZO,14,0.015,descriptive,True,168.0,172032.0,0.013129036873579,960.0,983040.0,168.0,172032.0
25,NOG-ZO,14,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,15,0.05,primary,True,152.0,155648.0,0.0430619306862354,960.0,983040.0,152.0,155648.0
25,NOG-ZO,15,0.03,primary,True,160.0,163840.0,0.0281871054321527,960.0,983040.0,160.0,163840.0
25,NOG-ZO,15,0.02,descriptive,True,168.0,172032.0,0.0142603060230612,960.0,983040.0,168.0,172032.0
25,NOG-ZO,15,0.018,descriptive,True,168.0,172032.0,0.0142603060230612,960.0,983040.0,168.0,172032.0
25,NOG-ZO,15,0.016,descriptive,True,168.0,172032.0,0.0142603060230612,960.0,983040.0,168.0,172032.0
25,NOG-ZO,15,0.015,descriptive,True,168.0,172032.0,0.0142603060230612,960.0,983040.0,168.0,172032.0
25,NOG-ZO,15,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,16,0.05,primary,True,148.0,151552.0,0.0465271435678005,960.0,983040.0,148.0,151552.0
25,NOG-ZO,16,0.03,primary,True,160.0,163840.0,0.0219792518764734,960.0,983040.0,160.0,163840.0
25,NOG-ZO,16,0.02,descriptive,True,164.0,167936.0,0.0164255611598491,960.0,983040.0,164.0,167936.0
25,NOG-ZO,16,0.018,descriptive,True,164.0,167936.0,0.0164255611598491,960.0,983040.0,164.0,167936.0
25,NOG-ZO,16,0.016,descriptive,True,168.0,172032.0,0.0107591124251484,960.0,983040.0,168.0,172032.0
25,NOG-ZO,16,0.015,descriptive,True,168.0,172032.0,0.0107591124251484,960.0,983040.0,168.0,172032.0
25,NOG-ZO,16,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,17,0.05,primary,True,148.0,151552.0,0.04992401227355,960.0,983040.0,148.0,151552.0
25,NOG-ZO,17,0.03,primary,True,160.0,163840.0,0.0268572214990854,960.0,983040.0,160.0,163840.0
25,NOG-ZO,17,0.02,descriptive,True,164.0,167936.0,0.0199516005814075,960.0,983040.0,164.0,167936.0
25,NOG-ZO,17,0.018,descriptive,True,168.0,172032.0,0.0150312269106507,960.0,983040.0,168.0,172032.0
25,NOG-ZO,17,0.016,descriptive,True,168.0,172032.0,0.0150312269106507,960.0,983040.0,168.0,172032.0
25,NOG-ZO,17,0.015,descriptive,True,172.0,176128.0,0.0118680726736783,960.0,983040.0,172.0,176128.0
25,NOG-ZO,17,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,18,0.05,primary,True,148.0,151552.0,0.0472730807960033,960.0,983040.0,148.0,151552.0
25,NOG-ZO,18,0.03,primary,True,160.0,163840.0,0.0246854573488235,960.0,983040.0,160.0,163840.0
25,NOG-ZO,18,0.02,descriptive,True,164.0,167936.0,0.018421184271574,960.0,983040.0,164.0,167936.0
25,NOG-ZO,18,0.018,descriptive,True,168.0,172032.0,0.0133061651140451,960.0,983040.0,168.0,172032.0
25,NOG-ZO,18,0.016,descriptive,True,168.0,172032.0,0.0133061651140451,960.0,983040.0,168.0,172032.0
25,NOG-ZO,18,0.015,descriptive,True,168.0,172032.0,0.0133061651140451,960.0,983040.0,168.0,172032.0
25,NOG-ZO,18,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,19,0.05,primary,True,148.0,151552.0,0.0493785552680492,960.0,983040.0,148.0,151552.0
25,NOG-ZO,19,0.03,primary,True,160.0,163840.0,0.0276570115238428,960.0,983040.0,160.0,163840.0
25,NOG-ZO,19,0.02,descriptive,True,168.0,172032.0,0.0172919780015945,960.0,983040.0,168.0,172032.0
25,NOG-ZO,19,0.018,descriptive,True,168.0,172032.0,0.0172919780015945,960.0,983040.0,168.0,172032.0
25,NOG-ZO,19,0.016,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,19,0.015,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,NOG-ZO,19,0.01,descriptive,False,,,,960.0,983040.0,960.0,983040.0
25,ME-DOL-ZO,0,0.05,primary,True,348.0,89088.0,0.0491423457860946,3840.0,983040.0,348.0,89088.0
25,ME-DOL-ZO,0,0.03,primary,True,456.0,116736.0,0.0292351488023996,3840.0,983040.0,456.0,116736.0
25,ME-DOL-ZO,0,0.02,descriptive,True,564.0,144384.0,0.0181116349995136,3840.0,983040.0,564.0,144384.0
25,ME-DOL-ZO,0,0.018,descriptive,True,576.0,147456.0,0.017172610387206,3840.0,983040.0,576.0,147456.0
25,ME-DOL-ZO,0,0.016,descriptive,True,612.0,156672.0,0.0150713417679071,3840.0,983040.0,612.0,156672.0
25,ME-DOL-ZO,0,0.015,descriptive,True,624.0,159744.0,0.0145783964544534,3840.0,983040.0,624.0,159744.0
25,ME-DOL-ZO,0,0.01,descriptive,True,876.0,224256.0,0.0096415383741259,3840.0,983040.0,876.0,224256.0
25,ME-DOL-ZO,1,0.05,primary,True,336.0,86016.0,0.0486636124551296,3840.0,983040.0,336.0,86016.0
25,ME-DOL-ZO,1,0.03,primary,True,456.0,116736.0,0.0296768844127655,3840.0,983040.0,456.0,116736.0
25,ME-DOL-ZO,1,0.02,descriptive,True,528.0,135168.0,0.019776877015829,3840.0,983040.0,528.0,135168.0
25,ME-DOL-ZO,1,0.018,descriptive,True,540.0,138240.0,0.0178998298943042,3840.0,983040.0,540.0,138240.0
25,ME-DOL-ZO,1,0.016,descriptive,True,564.0,144384.0,0.015538609586656,3840.0,983040.0,564.0,144384.0
25,ME-DOL-ZO,1,0.015,descriptive,True,576.0,147456.0,0.0149334110319614,3840.0,983040.0,576.0,147456.0
25,ME-DOL-ZO,1,0.01,descriptive,True,1404.0,359424.0,0.0095407981425523,3840.0,983040.0,1404.0,359424.0
25,ME-DOL-ZO,2,0.05,primary,True,336.0,86016.0,0.048111192882061,3840.0,983040.0,336.0,86016.0
25,ME-DOL-ZO,2,0.03,primary,True,432.0,110592.0,0.0277020148932933,3840.0,983040.0,432.0,110592.0
25,ME-DOL-ZO,2,0.02,descriptive,True,480.0,122880.0,0.0188541021198034,3840.0,983040.0,480.0,122880.0
25,ME-DOL-ZO,2,0.018,descriptive,True,492.0,125952.0,0.0170768238604068,3840.0,983040.0,492.0,125952.0
25,ME-DOL-ZO,2,0.016,descriptive,True,732.0,187392.0,0.0158478431403636,3840.0,983040.0,732.0,187392.0
25,ME-DOL-ZO,2,0.015,descriptive,True,876.0,224256.0,0.0148959113284945,3840.0,983040.0,876.0,224256.0
25,ME-DOL-ZO,2,0.01,descriptive,True,3828.0,979968.0,0.0096918940544128,3840.0,983040.0,3828.0,979968.0
25,ME-DOL-ZO,3,0.05,primary,True,372.0,95232.0,0.0482713058590889,3840.0,983040.0,372.0,95232.0
25,ME-DOL-ZO,3,0.03,primary,True,432.0,110592.0,0.0296224988996982,3840.0,983040.0,432.0,110592.0
25,ME-DOL-ZO,3,0.02,descriptive,True,528.0,135168.0,0.0185625981539487,3840.0,983040.0,528.0,135168.0
25,ME-DOL-ZO,3,0.018,descriptive,True,588.0,150528.0,0.0170623436570167,3840.0,983040.0,588.0,150528.0
25,ME-DOL-ZO,3,0.016,descriptive,True,600.0,153600.0,0.0157468244433403,3840.0,983040.0,600.0,153600.0
25,ME-DOL-ZO,3,0.015,descriptive,True,612.0,156672.0,0.0144045064225792,3840.0,983040.0,612.0,156672.0
25,ME-DOL-ZO,3,0.01,descriptive,True,2652.0,678912.0,0.0097403191030025,3840.0,983040.0,2652.0,678912.0
25,ME-DOL-ZO,4,0.05,primary,True,336.0,86016.0,0.0483320094645023,3840.0,983040.0,336.0,86016.0
25,ME-DOL-ZO,4,0.03,primary,True,432.0,110592.0,0.0278912559151649,3840.0,983040.0,432.0,110592.0
25,ME-DOL-ZO,4,0.02,descriptive,True,504.0,129024.0,0.0191940329968929,3840.0,983040.0,504.0,129024.0
25,ME-DOL-ZO,4,0.018,descriptive,True,600.0,153600.0,0.017365526407957,3840.0,983040.0,600.0,153600.0
25,ME-DOL-ZO,4,0.016,descriptive,True,624.0,159744.0,0.0152432452887296,3840.0,983040.0,624.0,159744.0
25,ME-DOL-ZO,4,0.015,descriptive,True,636.0,162816.0,0.0139592736959457,3840.0,983040.0,636.0,162816.0
25,ME-DOL-ZO,4,0.01,descriptive,True,708.0,181248.0,0.0099638625979423,3840.0,983040.0,708.0,181248.0
25,ME-DOL-ZO,5,0.05,primary,True,360.0,92160.0,0.0479272156953811,3840.0,983040.0,360.0,92160.0
25,ME-DOL-ZO,5,0.03,primary,True,456.0,116736.0,0.0283710695803165,3840.0,983040.0,456.0,116736.0
25,ME-DOL-ZO,5,0.02,descriptive,True,588.0,150528.0,0.0199564658105373,3840.0,983040.0,588.0,150528.0
25,ME-DOL-ZO,5,0.018,descriptive,True,612.0,156672.0,0.0172714572399854,3840.0,983040.0,612.0,156672.0
25,ME-DOL-ZO,5,0.016,descriptive,True,660.0,168960.0,0.0145700946450233,3840.0,983040.0,660.0,168960.0
25,ME-DOL-ZO,5,0.015,descriptive,True,660.0,168960.0,0.0145700946450233,3840.0,983040.0,660.0,168960.0
25,ME-DOL-ZO,5,0.01,descriptive,True,1008.0,258048.0,0.0096168266609311,3840.0,983040.0,1008.0,258048.0
25,ME-DOL-ZO,6,0.05,primary,True,324.0,82944.0,0.0487488880753517,3840.0,983040.0,324.0,82944.0
25,ME-DOL-ZO,6,0.03,primary,True,396.0,101376.0,0.0277796667069196,3840.0,983040.0,396.0,101376.0
25,ME-DOL-ZO,6,0.02,descriptive,True,540.0,138240.0,0.0185619387775659,3840.0,983040.0,540.0,138240.0
25,ME-DOL-ZO,6,0.018,descriptive,True,552.0,141312.0,0.0166998244822025,3840.0,983040.0,552.0,141312.0
25,ME-DOL-ZO,6,0.016,descriptive,True,564.0,144384.0,0.0153333162888884,3840.0,983040.0,564.0,144384.0
25,ME-DOL-ZO,6,0.015,descriptive,True,576.0,147456.0,0.0140416650101542,3840.0,983040.0,576.0,147456.0
25,ME-DOL-ZO,6,0.01,descriptive,True,1572.0,402432.0,0.0097213387489318,3840.0,983040.0,1572.0,402432.0
25,ME-DOL-ZO,7,0.05,primary,True,336.0,86016.0,0.0487407147884368,3840.0,983040.0,336.0,86016.0
25,ME-DOL-ZO,7,0.03,primary,True,432.0,110592.0,0.0291437450796365,3840.0,983040.0,432.0,110592.0
25,ME-DOL-ZO,7,0.02,descriptive,True,504.0,129024.0,0.0199677571654319,3840.0,983040.0,504.0,129024.0
25,ME-DOL-ZO,7,0.018,descriptive,True,528.0,135168.0,0.0175763145089149,3840.0,983040.0,528.0,135168.0
25,ME-DOL-ZO,7,0.016,descriptive,True,540.0,138240.0,0.0150978593155741,3840.0,983040.0,540.0,138240.0
25,ME-DOL-ZO,7,0.015,descriptive,True,552.0,141312.0,0.0146423950791358,3840.0,983040.0,552.0,141312.0
25,ME-DOL-ZO,7,0.01,descriptive,True,3384.0,866304.0,0.0097836041823029,3840.0,983040.0,3384.0,866304.0
25,ME-DOL-ZO,8,0.05,primary,True,360.0,92160.0,0.0478884316980838,3840.0,983040.0,360.0,92160.0
25,ME-DOL-ZO,8,0.03,primary,True,456.0,116736.0,0.0297994371503591,3840.0,983040.0,456.0,116736.0
25,ME-DOL-ZO,8,0.02,descriptive,True,552.0,141312.0,0.0191026907414197,3840.0,983040.0,552.0,141312.0
25,ME-DOL-ZO,8,0.018,descriptive,True,600.0,153600.0,0.0173013340681791,3840.0,983040.0,600.0,153600.0
25,ME-DOL-ZO,8,0.016,descriptive,True,660.0,168960.0,0.0153965475037693,3840.0,983040.0,660.0,168960.0
25,ME-DOL-ZO,8,0.015,descriptive,True,684.0,175104.0,0.013472294434905,3840.0,983040.0,684.0,175104.0
25,ME-DOL-ZO,8,0.01,descriptive,True,1116.0,285696.0,0.0093417838215827,3840.0,983040.0,1116.0,285696.0
25,ME-DOL-ZO,9,0.05,primary,True,348.0,89088.0,0.0479631721973419,3840.0,983040.0,348.0,89088.0
25,ME-DOL-ZO,9,0.03,primary,True,408.0,104448.0,0.0297499783337116,3840.0,983040.0,408.0,104448.0
25,ME-DOL-ZO,9,0.02,descriptive,True,528.0,135168.0,0.0184603445231914,3840.0,983040.0,528.0,135168.0
25,ME-DOL-ZO,9,0.018,descriptive,True,540.0,138240.0,0.0167170092463493,3840.0,983040.0,540.0,138240.0
25,ME-DOL-ZO,9,0.016,descriptive,True,588.0,150528.0,0.0150613393634557,3840.0,983040.0,588.0,150528.0
25,ME-DOL-ZO,9,0.015,descriptive,True,600.0,153600.0,0.0144273806363344,3840.0,983040.0,600.0,153600.0
25,ME-DOL-ZO,9,0.01,descriptive,True,2244.0,574464.0,0.0098743289709091,3840.0,983040.0,2244.0,574464.0
25,ME-DOL-ZO,10,0.05,primary,True,324.0,82944.0,0.0477852635085582,3840.0,983040.0,324.0,82944.0
25,ME-DOL-ZO,10,0.03,primary,True,432.0,110592.0,0.0286431480199098,3840.0,983040.0,432.0,110592.0
