regime,epsilon,num_seeds,paired_hit_count,ratios_use_capped_values,depth_ratio_mean,depth_ratio_sd,depth_ratio_ci_low,depth_ratio_ci_high,work_ratio_mean,work_ratio_sd,work_ratio_ci_low,work_ratio_ci_high
depth_optimal,0.00625,20,20,False,0.8614675560946028,0.07582190042327401,0.8298120072771377,0.8939963614311704,1.1692460317460318,0.10153511510700691,1.1260912698412697,1.212202380952381
depth_optimal,0.006,20,20,False,0.8817707701637356,0.07898119994350566,0.8482231655548818,0.9152456033959976,1.1427579365079366,0.10250464274471897,1.0982142857142856,1.1860119047619049
depth_optimal,0.00575,20,20,False,0.8203979049975654,0.12890502838630083,0.7644203457768969,0.8719347494542308,1.2520833333333332,0.22616800937096243,1.1612103174603174,1.352281746031746
depth_optimal,0.0055,20,20,False,0.7596817753626292,0.19463431556007613,0.6798941596060976,0.8419851866615669,1.4109540343915343,0.4016416185489099,1.2499669312169313,1.5950810185185185
depth_optimal,0.00525,20,20,False,0.6734437087156776,0.2769845573025893,0.5601567691607,0.7971149269605703,1.8061987433862434,0.9271013297294016,1.4237483465608465,2.231878306878307
depth_optimal,0.005,20,20,False,0.5534780587684224,0.11149192721833223,0.5091498672293588,0.602557432389521,1.8769632335257336,0.37487937594533105,1.7191420153920154,2.03732202982203
depth_optimal,0.00475,20,20,False,0.6346799615208294,0.1130914233218849,0.5876790517812015,0.6848114488648346,1.6244934116809118,0.2943376891801044,1.5001658411033412,1.7523603595478596
depth_optimal,0.0045,20,20,False,0.6597614623067815,0.06933613317928312,0.6307943676457909,0.68756518031285,1.5310679713804713,0.1548301945483535,1.46305765993266,1.5947095959595958
depth_optimal,0.00425,20,20,False,0.7661768677148292,0.15476957250821666,0.7003292138075006,0.8379385840151066,1.352072955979206,0.25236193773784393,1.2444037675287676,1.4598795648795648
depth_optimal,0.004,20,20,False,0.8004105821564427,0.22955787350711238,0.7111902524358305,0.8949860738339028,1.3495097562816554,0.3818389312406877,1.1868477137738647,1.5186142391105626
