method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,epoch_length,domain_radius,theory_multiplier,batch_size,small_batch,large_batch,restart_period,restart_mixing_rounds
NOG-ZO,NOG,960,960,80.0,8,y_bar,0.1,12.0,0.3,0.0718000829219818,34.09980583190918,4,100004,200004,1021134146,szo,985088,985088,123136,"[123136, 123136, 123136, 123136, 123136, 123136, 123136, 123136]",172032,962,962,0.7276288270950317,0.0093056010082364,,,,,,,,
DGFM,DGFM,960,960,,8,x_bar,0.1,,0.001,,5.868966579437256,0,100000,200000,2024481442,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,1920,1920,0.7299729585647583,0.0119512155652046,,,,1.0,,,,
DGFM+,DGFM+,960,960,,8,x_bar,0.1,,0.001,,57.54368424415589,0,100000,200000,310546480,szo,261120,261120,32640,"[32640, 32640, 32640, 32640, 32640, 32640, 32640, 32640]",172032,1920,1920,0.7298373579978943,0.0112762711942195,,,,,8.0,64.0,48.0,1.0
DGFM,DGFM,960,960,,8,x_bar,0.1,,0.001,,6.003708124160767,1,100001,200001,1527951910,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,1920,1920,0.7331225872039795,0.0115918861702084,,,,1.0,,,,
DGFM+,DGFM+,960,960,,8,x_bar,0.1,,0.001,,57.48772501945496,1,100001,200001,169987917,szo,261120,261120,32640,"[32640, 32640, 32640, 32640, 32640, 32640, 32640, 32640]",172032,1920,1920,0.7330109477043152,0.0105774812400341,,,,,8.0,64.0,48.0,1.0
DGFM,DGFM,960,960,,8,x_bar,0.1,,0.001,,5.945204734802246,2,100002,200002,741198208,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,1920,1920,0.7177783846855164,0.0114874169230461,,,,1.0,,,,
DGFM+,DGFM+,960,960,,8,x_bar,0.1,,0.001,,57.3920419216156,2,100002,200002,393487922,szo,261120,261120,32640,"[32640, 32640, 32640, 32640, 32640, 32640, 32640, 32640]",172032,1920,1920,0.7178683876991272,0.0120602687820792,,,,,8.0,64.0,48.0,1.0
DGFM,DGFM,960,960,,8,x_bar,0.1,,0.001,,5.981048107147217,3,100003,200003,1528288592,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,1920,1920,0.7300471663475037,0.0107417842373251,,,,1.0,,,,
DGFM+,DGFM+,960,960,,8,x_bar,0.1,,0.001,,57.5986065864563,3,100003,200003,410831931,szo,261120,261120,32640,"[32640, 32640, 32640, 32640, 32640, 32640, 32640, 32640]",172032,1920,1920,0.7298964262008667,0.0103320451453328,,,,,8.0,64.0,48.0,1.0
DGFM,DGFM,960,960,,8,x_bar,0.1,,0.001,,6.250947713851929,4,100004,200004,196979118,szo,15360,15360,1920,"[1920, 1920, 1920, 1920, 1920, 1920, 1920, 1920]",172032,1920,1920,0.7277777791023254,0.0108516179025173,,,,1.0,,,,
DGFM+,DGFM+,960,960,,8,x_bar,0.1,,0.001,,57.79507756233215,4,100004,200004,323536455,szo,261120,261120,32640,"[32640, 32640, 32640, 32640, 32640, 32640, 32640, 32640]",172032,1920,1920,0.7277730107307434,0.0108695076778531,,,,,8.0,64.0,48.0,1.0
