method,base_method,iteration,round,block_id,worker_count,eval_point,delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,epoch_length,domain_radius,theory_multiplier,batch_size,small_batch,large_batch,restart_period,restart_mixing_rounds
ME-DOL-FO,ME-DOL,108,108,,8,epoch_w_bar,0.1,,0.000637887953849786,,1.2336885929107666,0,100000,200000,1570699740,sfo,864,864,108,"[108, 108, 108, 108, 108, 108, 108, 108]",24576,108,108,0.7295941710472107,0.010922512039542198,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,156,156,,8,epoch_w_bar,0.1,,0.000637887953849786,,1.7225918769836426,0,100000,200000,1570699740,sfo,1248,1248,156,"[156, 156, 156, 156, 156, 156, 156, 156]",32768,156,156,0.7295946478843689,0.009622075594961643,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,204,204,,8,epoch_w_bar,0.1,,0.000637887953849786,,2.222029685974121,0,100000,200000,1570699740,sfo,1632,1632,204,"[204, 204, 204, 204, 204, 204, 204, 204]",40960,204,204,0.7295939922332764,0.010969363152980804,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,252,252,,8,epoch_w_bar,0.1,,0.000637887953849786,,2.7278761863708496,0,100000,200000,1570699740,sfo,2016,2016,252,"[252, 252, 252, 252, 252, 252, 252, 252]",49152,252,252,0.7295986413955688,0.01012209802865982,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,300,300,,8,epoch_w_bar,0.1,,0.000637887953849786,,3.2678937911987305,0,100000,200000,1570699740,sfo,2400,2400,300,"[300, 300, 300, 300, 300, 300, 300, 300]",57344,300,300,0.7296074032783508,0.010354720056056976,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,348,348,,8,epoch_w_bar,0.1,,0.000637887953849786,,3.7828145027160645,0,100000,200000,1570699740,sfo,2784,2784,348,"[348, 348, 348, 348, 348, 348, 348, 348]",65536,348,348,0.7296055555343628,0.01013251580297947,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,396,396,,8,epoch_w_bar,0.1,,0.000637887953849786,,4.324561834335327,0,100000,200000,1570699740,sfo,3168,3168,396,"[396, 396, 396, 396, 396, 396, 396, 396]",73728,396,396,0.7296064496040344,0.008888132870197296,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,444,444,,8,epoch_w_bar,0.1,,0.000637887953849786,,4.826440334320068,0,100000,200000,1570699740,sfo,3552,3552,444,"[444, 444, 444, 444, 444, 444, 444, 444]",81920,444,444,0.7296068668365479,0.009311804547905922,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,492,492,,8,epoch_w_bar,0.1,,0.000637887953849786,,5.330983638763428,0,100000,200000,1570699740,sfo,3936,3936,492,"[492, 492, 492, 492, 492, 492, 492, 492]",90112,492,492,0.7296068668365479,0.010608387179672718,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,540,540,,8,epoch_w_bar,0.1,,0.000637887953849786,,5.827106475830078,0,100000,200000,1570699740,sfo,4320,4320,540,"[540, 540, 540, 540, 540, 540, 540, 540]",98304,540,540,0.7296086549758911,0.009616045281291008,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,588,588,,8,epoch_w_bar,0.1,,0.000637887953849786,,6.380582332611084,0,100000,200000,1570699740,sfo,4704,4704,588,"[588, 588, 588, 588, 588, 588, 588, 588]",106496,588,588,0.7296111583709717,0.009973553940653801,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,636,636,,8,epoch_w_bar,0.1,,0.000637887953849786,,6.960999011993408,0,100000,200000,1570699740,sfo,5088,5088,636,"[636, 636, 636, 636, 636, 636, 636, 636]",114688,636,636,0.7296105623245239,0.010165308602154255,12.0,0.002209708691207961,3.0,,,,,
ME-DOL-FO,ME-DOL,684,684,,8,epoch_w_bar,0.1,,0.000637887953849786,,7.549492359161377,0,100000,200000,1570699740,sfo,5472,5472,684,"[684, 684, 684, 684, 684, 684, 684, 684]",122880,684,684,0.7296088933944702,0.009929313324391842,12.0,0.002209708691207961,3.0,,,,,
