method,oracle_type,worker_count,communication_round,total_work,num_seeds,stat_proxy_mean,stat_proxy_std,objective_mean,objective_std
ME-DOL-FO,sfo,8,252,2016,5,0.01053845882415768,0.0003618532545238136,0.7273772478103637,0.005813322359611666
ME-DOL-FO,sfo,8,300,2400,5,0.01100921481847758,0.001201074229507884,0.7273804068565368,0.005813853176429982
ME-DOL-FO,sfo,8,348,2784,5,0.010187644511461199,0.0010096035920105293,0.727381455898285,0.0058186468661883435
ME-DOL-FO,sfo,8,396,3168,5,0.0100882781669497,0.000999895622238852,0.7273834228515625,0.005821469389659723
ME-DOL-FO,sfo,8,444,3552,5,0.010140558518469279,0.0006208079629475566,0.7273800730705261,0.00582536326741409
ME-DOL-FO,sfo,8,492,3936,5,0.01010203361511226,0.000747086485322113,0.7273801326751709,0.005830364835636729
ME-DOL-FO,sfo,8,540,4320,5,0.010046936944127019,0.001343760607241066,0.7273785233497619,0.005830886911651043
ME-DOL-FO,sfo,8,588,4704,5,0.01013063080608842,0.0006977714034249812,0.7273787975311279,0.005828289085254842
ME-DOL-FO,sfo,8,636,5088,5,0.01033682618290182,0.0009568507949524894,0.727374541759491,0.005826381966275116
ME-DOL-FO,sfo,8,684,5472,5,0.01008889004588122,0.0009051274638429086,0.7273736476898194,0.005830767736207366
ME-DOL-FO,sfo,8,732,5856,5,0.01011416837573046,0.000706877156397359,0.7273720145225525,0.005831955182918101
ME-DOL-FO,sfo,8,780,6240,5,0.00976814012974494,0.0003120684121422621,0.72736896276474,0.0058316968597882405
ME-DOL-FO,sfo,8,828,6624,5,0.0096900396049022,0.0010754346761385916,0.7273687720298767,0.00583195752253646
ME-DOL-FO,sfo,8,876,7008,5,0.00996101517230268,0.0008589006495741987,0.7273658037185669,0.005836279379547262
ME-DOL-FO,sfo,8,924,7392,5,0.009400608949363159,0.0004924942315326751,0.7273643255233765,0.005842289747490427
ME-DOL-FO,sfo,8,960,7680,5,0.0095251509919762,0.0005218783672587437,0.7273646831512451,0.005843916476613864
ME-DOL-ZO,szo,8,12,192,5,0.01088385712355368,0.0009395314325867811,0.7273331880569458,0.005807084153667102
ME-DOL-ZO,szo,8,60,960,5,0.01107938122004266,0.0008817009075907189,0.7273634552955628,0.0058077524403491775
ME-DOL-ZO,szo,8,108,1728,5,0.01104421224445102,0.0006512800285364805,0.7273735284805298,0.005810757440656946
ME-DOL-ZO,szo,8,156,2496,5,0.01047215852886432,0.0011670004380507802,0.7273841261863708,0.0058114414903639375
ME-DOL-ZO,szo,8,204,3264,5,0.01119051687419408,0.0009418903316363836,0.7273945689201355,0.005815904356289141
ME-DOL-ZO,szo,8,252,4032,5,0.0109443919733166,0.0004015842348831911,0.7274012446403504,0.0058192841537794094
ME-DOL-ZO,szo,8,300,4800,5,0.011461530625820119,0.0012934950696707865,0.7274085521697998,0.005822546139828056
ME-DOL-ZO,szo,8,348,5568,5,0.01070861797779794,0.0011321150962879801,0.7274170994758606,0.005821763664444598
ME-DOL-ZO,szo,8,396,6336,5,0.0107386581599712,0.0009838440450092472,0.727420163154602,0.0058219427066290045
ME-DOL-ZO,szo,8,444,7104,5,0.01090914402157064,0.000660799362267179,0.7274247527122497,0.005828228896620623
ME-DOL-ZO,szo,8,492,7872,5,0.0108775226399302,0.0010463686913313997,0.7274305105209351,0.005831089760644796
ME-DOL-ZO,szo,8,540,8640,5,0.01083290595561262,0.001465076573046982,0.7274322152137757,0.005825704652819718
ME-DOL-ZO,szo,8,588,9408,5,0.011035284958779801,0.0008570661934437329,0.7274369716644287,0.005828968398051578
ME-DOL-ZO,szo,8,636,10176,5,0.011317580938339181,0.0008649462647047555,0.7274433135986328,0.00582915683859811
ME-DOL-ZO,szo,8,684,10944,5,0.01096236836165184,0.0009858141565067668,0.7274434089660644,0.005828039649483635
ME-DOL-ZO,szo,8,732,11712,5,0.01110645402222868,0.000690266041124967,0.7274490118026733,0.005829651882099835
ME-DOL-ZO,szo,8,780,12480,5,0.01092581320554014,0.0005055707211753002,0.727456533908844,0.005832513831533819
ME-DOL-ZO,szo,8,828,13248,5,0.01081658937036986,0.0012700844227422241,0.727458369731903,0.005831190445762563
ME-DOL-ZO,szo,8,876,14016,5,0.011020830832421741,0.00100126579121089,0.7274668574333191,0.005831080031980693
ME-DOL-ZO,szo,8,924,14784,5,0.01085486765950912,0.0006535662395275682,0.7274736166000366,0.0058317751614078575
ME-DOL-ZO,szo,8,960,15360,5,0.01082915011793372,0.0008076492417101407,0.7274753451347351,0.0058326959188303214
NOG-FO,sfo,1,14,7168,5,0.01011487431824204,0.0008244928677802075,0.7273659706115723,0.005830456911220505
NOG-FO,sfo,1,62,31744,5,0.007930261734873,0.00044496177725058037,0.7272736191749573,0.005919896752861579
NOG-FO,sfo,1,110,56320,5,0.007720906101167139,0.00034286020746959614,0.7271651029586792,0.005979859195725257
NOG-FO,sfo,1,158,80896,5,0.007417598832398601,0.0008619598143506377,0.7270348787307739,0.006050391568060879
NOG-FO,sfo,1,206,105472,5,0.00772568220272656,0.0007268471778968204,0.7269003510475158,0.006098702010546085
NOG-FO,sfo,1,254,130048,5,0.00759401191025966,0.0004357263698387457,0.7267779111862183,0.006174382644335397
NOG-FO,sfo,1,302,154624,5,0.007739837560802661,0.0008337205764124437,0.7266343235969543,0.006256928364885705
NOG-FO,sfo,1,350,179200,5,0.007204682659357739,0.0004623754286281473,0.7265070915222168,0.006329943116470735
NOG-FO,sfo,1,398,203776,5,0.007717659510672039,0.0007535851883807767,0.7263347029685974,0.006397738866643785
NOG-FO,sfo,1,446,228352,5,0.00734169846400614,0.0004971833072903094,0.7261943936347961,0.006485906985947859
NOG-FO,sfo,1,494,252928,5,0.00764182880520816,0.0006200710165506274,0.7260525345802307,0.006541665072549447
NOG-FO,sfo,1,542,277504,5,0.0076796799898147,0.0010112652923577091,0.725902009010315,0.0066114384359525664
NOG-FO,sfo,1,590,302080,5,0.00724023468792432,0.0003703603565297223,0.7257759213447571,0.006651584907554787
NOG-FO,sfo,1,638,326656,5,0.007783212512731499,0.0006965615896077712,0.7256381154060364,0.006678845482758545
NOG-FO,sfo,1,686,351232,5,0.007211373560130541,0.00035617756007285984,0.7255031108856201,0.0067445676148223405
NOG-FO,sfo,1,734,375808,5,0.0077859276905655195,0.00037578854777641467,0.7253744721412658,0.006762819578951365
NOG-FO,sfo,1,782,400384,5,0.007390119228512,0.0002458124026764559,0.7252602696418762,0.006825688331845025
NOG-FO,sfo,1,830,424960,5,0.0074547499418258206,0.00082543188136963,0.7251413822174072,0.006889247860906511
NOG-FO,sfo,1,878,449536,5,0.00772925848141306,0.0007544971731333965,0.7250054240226745,0.0069343772807197905
NOG-FO,sfo,1,926,474112,5,0.0072334473021328,0.00040079907744456494,0.7248909831047058,0.006985778178893587
NOG-FO,sfo,1,962,492544,5,0.0074042303487658005,0.0002547904729888575,0.7247779369354248,0.007007783423543857
NOG-FO,sfo,2,14,7168,5,0.01011887509375806,0.000719844822386914,0.7273713111877441,0.00582187617981015
NOG-FO,sfo,2,62,31744,5,0.00805119033902878,0.0002988088003183088,0.727271032333374,0.0059220885004418215
NOG-FO,sfo,2,110,56320,5,0.0078751002438366,0.00040257041459684946,0.7271517276763916,0.005986673355890947
NOG-FO,sfo,2,158,80896,5,0.00743178883567448,0.0008887991050772833,0.7270422339439392,0.006070770334369112
NOG-FO,sfo,2,206,105472,5,0.007652732543647239,0.0006458045544950375,0.7269106268882751,0.006109413203724101
NOG-FO,sfo,2,254,130048,5,0.00733902463689442,0.00023400719198593369,0.7267689228057861,0.006156665972754124
NOG-FO,sfo,2,302,154624,5,0.0075498591177165205,0.0006534664165724523,0.7266493439674377,0.006222346823637499
NOG-FO,sfo,2,350,179200,5,0.00703827999532218,0.0006405018479931977,0.7265239238739014,0.00628261244774168
NOG-FO,sfo,2,398,203776,5,0.0075189610943197805,0.0005229934490465062,0.7263885140419006,0.006350575945021362
NOG-FO,sfo,2,446,228352,5,0.00719576198607678,0.0005540530141748855,0.7262515783309936,0.006398153763308342
NOG-FO,sfo,2,494,252928,5,0.00747827785089606,0.0006630858438884816,0.7260986208915711,0.006498634446558236
NOG-FO,sfo,2,542,277504,5,0.0076145463623106,0.0008159924732976951,0.7259655237197876,0.006560516978274681
NOG-FO,sfo,2,590,302080,5,0.0072008970193564404,0.0004143420026634674,0.7258249044418335,0.00661532619442732
NOG-FO,sfo,2,638,326656,5,0.00750592211261384,0.000600453245312465,0.7257158994674683,0.006687862267345749
NOG-FO,sfo,2,686,351232,5,0.0072465062141418195,0.0005549318488347751,0.7255975484848023,0.006729580863349535
NOG-FO,sfo,2,734,375808,5,0.0076638733968138195,0.0004144297238506853,0.7254563331604004,0.00677605984456088
NOG-FO,sfo,2,782,400384,5,0.00708200158551332,0.0004490685813251042,0.7253235340118408,0.006840169781353936
NOG-FO,sfo,2,830,424960,5,0.007375588826835119,0.00048582779415299205,0.7252060770988464,0.006880461740949189
NOG-FO,sfo,2,878,449536,5,0.007842812500894041,0.000817211009936537,0.7250827550888062,0.006898188990464185
NOG-FO,sfo,2,926,474112,5,0.007040115259587721,0.0003574593263776155,0.7249646067619324,0.006954068350403475
NOG-FO,sfo,2,962,492544,5,0.007251662388443899,0.00035626424792456593,0.7248820543289185,0.0069866517423382065
NOG-FO,sfo,4,14,7168,5,0.01008805278688664,0.0009481013564486158,0.727374279499054,0.005818890497642606
NOG-FO,sfo,4,62,31744,5,0.00800519781187172,0.000364642556161175,0.7272790670394897,0.005908294001089874
NOG-FO,sfo,4,110,56320,5,0.0077216042205690795,0.0005108357690983806,0.7271642446517944,0.005974071574461245
NOG-FO,sfo,4,158,80896,5,0.00737895909696812,0.0007737068959358635,0.7270308852195739,0.0060609227002228205
NOG-FO,sfo,4,206,105472,5,0.0077741901390254,0.0006443209572454798,0.7269026637077332,0.006131487512038177
NOG-FO,sfo,4,254,130048,5,0.007455860171466999,0.0004322470897114706,0.7267575144767762,0.006200641993105573
NOG-FO,sfo,4,302,154624,5,0.0077778273262083,0.0009160428776039893,0.7266192436218262,0.006262791514338115
NOG-FO,sfo,4,350,179200,5,0.00719620818272228,0.0006773462686042299,0.7264968872070312,0.006323780261490265
NOG-FO,sfo,4,398,203776,5,0.0075101558119058,0.0007044922601723415,0.7263518929481506,0.00637766775922227
NOG-FO,sfo,4,446,228352,5,0.007273757271468599,0.0005173082969930906,0.7262049555778504,0.006458186143505407
NOG-FO,sfo,4,494,252928,5,0.007500464934855661,0.0007378611197814409,0.7260611057281494,0.006518780215873595
NOG-FO,sfo,4,542,277504,5,0.00729738501831884,0.0008567502491554081,0.7259238362312317,0.006578886877190357
NOG-FO,sfo,4,590,302080,5,0.0071322545409202,0.00028678495695702686,0.7257844090461731,0.0066461662292857625
NOG-FO,sfo,4,638,326656,5,0.0075882110744714005,0.000586313931047572,0.7256545305252076,0.006720456824834247
NOG-FO,sfo,4,686,351232,5,0.0071937640197574995,0.0006493953350207716,0.7255273580551147,0.006783106371971951
NOG-FO,sfo,4,734,375808,5,0.007482231501489819,0.0005156842131289731,0.7253888130187989,0.006843129124059795
NOG-FO,sfo,4,782,400384,5,0.00734664117917414,0.0005459732488906341,0.725274384021759,0.0068798665847255485
NOG-FO,sfo,4,830,424960,5,0.00737740090116854,0.0006809435900047435,0.7251479983329773,0.006937740191413981
NOG-FO,sfo,4,878,449536,5,0.00769793344661588,0.0008828439544545946,0.7250308752059936,0.006988959995744693
NOG-FO,sfo,4,926,474112,5,0.00717682885006062,0.0003538498803018179,0.7249024033546447,0.007034082847186555
NOG-FO,sfo,4,962,492544,5,0.007390211150050121,0.0002770374281800313,0.724824595451355,0.007053350728177128
NOG-FO,sfo,8,14,7168,5,0.01010272763669486,0.0006862655928345165,0.7273663878440857,0.005830717975244978
NOG-FO,sfo,8,62,31744,5,0.00786945298314088,0.00019474267726719767,0.7272833824157715,0.005927274675036361
NOG-FO,sfo,8,110,56320,5,0.007788918726146179,0.0005252798905815276,0.7271658897399902,0.005994778175252719
NOG-FO,sfo,8,158,80896,5,0.007603223714977419,0.000741175498599561,0.7270281076431274,0.006037956599713064
NOG-FO,sfo,8,206,105472,5,0.00790615892037744,0.0008065306485436964,0.7269207954406738,0.006093837056285154
NOG-FO,sfo,8,254,130048,5,0.007598534971475559,0.0005198423881687329,0.7268015027046204,0.006161679322520502
NOG-FO,sfo,8,302,154624,5,0.00783957429230208,0.0007771169269619971,0.7266488194465637,0.006234004611342022
NOG-FO,sfo,8,350,179200,5,0.0073226666077971,0.0006464473268604755,0.7264845371246338,0.006323963192821384
NOG-FO,sfo,8,398,203776,5,0.00749993547797196,0.0005996854129760958,0.726366913318634,0.006398932859232814
NOG-FO,sfo,8,446,228352,5,0.007215018104761781,0.0004605722322477311,0.7262231349945069,0.0064428192053392185
NOG-FO,sfo,8,494,252928,5,0.007540254108607721,0.0007572550385389946,0.7260659694671631,0.006511482485665677
NOG-FO,sfo,8,542,277504,5,0.0075470003299414595,0.0010662047512584214,0.7259422063827514,0.006553355449857104
NOG-FO,sfo,8,590,302080,5,0.00731356730684634,0.0004464806022516041,0.7258006811141968,0.006607278469472187
NOG-FO,sfo,8,638,326656,5,0.0076166566461324196,0.0007322402485829314,0.7256786108016968,0.006667992664877258
NOG-FO,sfo,8,686,351232,5,0.0071500599384307405,0.00038521775873161766,0.725536298751831,0.00672975416634278
NOG-FO,sfo,8,734,375808,5,0.00773103255778546,0.00044775660264856435,0.725435757637024,0.006785623870665901
NOG-FO,sfo,8,782,400384,5,0.007381118647754139,0.0001415552467993808,0.7253210663795471,0.006860828798730979
NOG-FO,sfo,8,830,424960,5,0.00738989524543282,0.0005785022666843101,0.7252250432968139,0.0069011111184117315
NOG-FO,sfo,8,878,449536,5,0.007728863134980141,0.0009145036956786926,0.7251016974449158,0.0069383314354478885
NOG-FO,sfo,8,926,474112,5,0.007155681494623379,0.00039092123669405755,0.7249762177467346,0.007009820923646139
NOG-FO,sfo,8,962,492544,5,0.00731103159487244,0.00015319125803798657,0.7248843908309937,0.007034937799142976
NOG-ZO,szo,1,14,14336,5,0.010822349227964819,0.0009363367466249841,0.7273921847343445,0.005805339219662967
NOG-ZO,szo,1,62,63488,5,0.01079734899103638,0.0007740531340670276,0.727486526966095,0.005828581771698945
NOG-ZO,szo,1,110,112640,5,0.01077353414148088,0.0005022667169790625,0.7275367259979248,0.005839332813511881
NOG-ZO,szo,1,158,161792,5,0.010265211388468701,0.0010666111732422657,0.7275604605674744,0.0058395648972120375
NOG-ZO,szo,1,206,210944,5,0.01065177656710144,0.0006541902390506374,0.7275542497634888,0.005852270435691411
NOG-ZO,szo,1,254,260096,5,0.01022963225841516,0.0004503634903836963,0.7275463223457337,0.005841361622272516
NOG-ZO,szo,1,302,309248,5,0.01060205884277816,0.0010497808836580128,0.7275623679161072,0.0058452440946824905
NOG-ZO,szo,1,350,358400,5,0.00968693606555456,0.0010288765863261658,0.7275514125823974,0.005847963805637699
NOG-ZO,szo,1,398,407552,5,0.00955964103341098,0.0008007662649482397,0.727556574344635,0.005856811065117182
NOG-ZO,szo,1,446,456704,5,0.009596290439367241,0.0007484889673644372,0.7275555253028869,0.005877322667350078
NOG-ZO,szo,1,494,505856,5,0.009757644869387119,0.0009888981522376014,0.7275571942329406,0.005862857923662105
NOG-ZO,szo,1,542,555008,5,0.00979755949228998,0.0012615600801614139,0.727560842037201,0.005838763418138403
NOG-ZO,szo,1,590,604160,5,0.0097236247733235,0.0007167730202048655,0.727552306652069,0.005839981922498567
NOG-ZO,szo,1,638,653312,5,0.01009549461305136,0.0009539577834640643,0.7275614023208619,0.005818194473970855
NOG-ZO,szo,1,686,702464,5,0.0097434658557176,0.0012005785791825085,0.727568531036377,0.005837229870719115
NOG-ZO,szo,1,734,751616,5,0.00975500103086228,0.0007192541902975337,0.7275828361511231,0.0058408286103425145
NOG-ZO,szo,1,782,800768,5,0.009415123797953059,0.0007467545118551586,0.7275694251060486,0.005859208646601045
NOG-ZO,szo,1,830,849920,5,0.009617768228054,0.0013621502222844319,0.72756929397583,0.005865989767311223
NOG-ZO,szo,1,878,899072,5,0.00957909654825922,0.0013239185644997084,0.7275532126426697,0.005859538461445205
NOG-ZO,szo,1,926,948224,5,0.00898502655327316,0.000596047676091226,0.7275399327278137,0.00588474926408213
NOG-ZO,szo,1,962,985088,5,0.00920334905385966,0.00034285208708621524,0.7275344848632812,0.005892881328704553
NOG-ZO,szo,2,14,14336,5,0.0108752958476543,0.000859499602811755,0.727397334575653,0.005803046569317044
NOG-ZO,szo,2,62,63488,5,0.01090292744338508,0.0006380118236759541,0.7275178670883179,0.005816870954681058
NOG-ZO,szo,2,110,112640,5,0.01082480642944568,0.0006623222347414086,0.7275511145591735,0.005813503071761584
NOG-ZO,szo,2,158,161792,5,0.0102967511862516,0.0010450591339296548,0.727573549747467,0.005819545462183509
NOG-ZO,szo,2,206,210944,5,0.0108618754893541,0.0008816542227718397,0.727588438987732,0.005827866868622435
