worker_count,method,epsilon,scope,seeds,hits,hit_rate,mean_first_hit_depth,sd_first_hit_depth,mean_first_hit_work,sd_first_hit_work,mean_first_hit_per_worker_work,sd_first_hit_per_worker_work,mean_capped_depth,mean_capped_work,mean_capped_per_worker_work
8,NOG-ZO,0.05,primary,20,20,1.0,214.4,2.0104987598001385,219545.6,2058.750730035342,27443.2,257.3438412544177,214.4,219545.6,27443.2
8,NOG-ZO,0.03,descriptive,20,20,1.0,229.2,1.8806493839265088,234700.8,1925.784969140745,29337.6,240.72312114259313,229.2,234700.8,29337.6
8,NOG-ZO,0.02,descriptive,20,20,1.0,237.2,1.8806493839265088,242892.8,1925.784969140745,30361.6,240.72312114259313,237.2,242892.8,30361.6
8,NOG-ZO,0.018,descriptive,20,20,1.0,240.2,1.5761378513048243,245964.8,1613.96515973614,30745.6,201.7456449670175,240.2,245964.8,30745.6
8,NOG-ZO,0.016,descriptive,20,18,0.9,242.0,2.0579830217101063,247808.0,2107.374614231149,30976.0,263.4218267788936,313.8,321331.2,40166.4
8,NOG-ZO,0.015,descriptive,20,11,0.55,244.0,1.7888543819998317,249856.0,1831.7868871678277,31232.0,228.97336089597846,566.2,579788.8,72473.6
8,NOG-ZO,0.01,descriptive,20,0,0.0,,,,,,,960.0,983040.0,122880.0
8,ME-DOL-ZO,0.05,primary,20,20,1.0,496.2,15.70651892820638,127027.2,4020.8688456208333,15878.4,502.60860570260417,496.2,127027.2,15878.4
8,ME-DOL-ZO,0.03,descriptive,20,20,1.0,622.8,26.377023494341675,159436.8,6752.518014551469,19929.6,844.0647518189336,622.8,159436.8,19929.6
8,ME-DOL-ZO,0.02,descriptive,20,20,1.0,780.6,47.28012823920626,199833.6,12103.712829236803,24979.2,1512.9641036546004,780.6,199833.6,24979.2
8,ME-DOL-ZO,0.018,descriptive,20,20,1.0,852.0,58.399711607074515,218112.0,14950.326171411076,27264.0,1868.7907714263845,852.0,218112.0,27264.0
8,ME-DOL-ZO,0.016,descriptive,20,20,1.0,991.8,128.79015980717585,253900.8,32970.28091063702,31737.6,4121.285113829627,991.8,253900.8,31737.6
8,ME-DOL-ZO,0.015,descriptive,20,20,1.0,1247.4,321.2980908096012,319334.4,82252.31124725791,39916.8,10281.538905907239,1247.4,319334.4,39916.8
8,ME-DOL-ZO,0.01,descriptive,20,0,0.0,,,,,,,3840.0,983040.0,122880.0
8,DGFM,0.05,primary,20,20,1.0,1296.0,26.08488168713017,165888.0,3338.864855952662,20736.0,417.35810699408273,1296.0,165888.0,20736.0
8,DGFM,0.03,descriptive,20,20,1.0,1652.4,50.0256776171261,211507.2,6403.286734992141,26438.4,800.4108418740176,1652.4,211507.2,26438.4
8,DGFM,0.02,descriptive,20,20,1.0,1993.6,78.4094516322054,255180.8,10036.409808922292,31897.6,1254.5512261152865,1993.6,255180.8,31897.6
8,DGFM,0.018,descriptive,20,20,1.0,2111.6,95.31245017254953,270284.8,12199.99362208634,33785.6,1524.9992027607925,2111.6,270284.8,33785.6
8,DGFM,0.016,descriptive,20,20,1.0,2270.0,112.1465207006582,290560.0,14354.75464968425,36320.0,1794.3443312105312,2270.0,290560.0,36320.0
8,DGFM,0.015,descriptive,20,20,1.0,2392.8,120.12344527719456,306278.4,15375.800995480904,38284.8,1921.975124435113,2392.8,306278.4,38284.8
8,DGFM,0.01,descriptive,20,0,0.0,,,,,,,7680.0,983040.0,122880.0
8,DGFM+,0.05,primary,20,20,1.0,1410.0,107.17030224931965,192076.8,14661.942808006828,24009.6,1832.7428510008535,1410.0,192076.8,24009.6
8,DGFM+,0.03,descriptive,20,20,1.0,2609.6,574.6334667008455,355302.4,78175.37960414795,44412.8,9771.922450518494,2609.6,355302.4,44412.8
8,DGFM+,0.02,descriptive,20,0,0.0,,,,,,,7224.0,983040.0,122880.0
8,DGFM+,0.018,descriptive,20,0,0.0,,,,,,,7224.0,983040.0,122880.0
8,DGFM+,0.016,descriptive,20,0,0.0,,,,,,,7224.0,983040.0,122880.0
8,DGFM+,0.015,descriptive,20,0,0.0,,,,,,,7224.0,983040.0,122880.0
8,DGFM+,0.01,descriptive,20,0,0.0,,,,,,,7224.0,983040.0,122880.0
