worker_count,method,formal_seed,epsilon,scope,hit,first_hit_depth,first_hit_work,first_hit_per_worker_work,first_hit_stat_proxy,censor_depth,censor_work,censor_per_worker_work,capped_depth,capped_work,capped_per_worker_work
1,NOG-ZO,16,0.015,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,16,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,17,0.05,primary,True,216.0,221184.0,221184.0,0.0472706221044063,960.0,983040.0,983040.0,216.0,221184.0,221184.0
1,NOG-ZO,17,0.03,descriptive,True,228.0,233472.0,233472.0,0.0298057440668344,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,17,0.02,descriptive,True,240.0,245760.0,245760.0,0.0169284455478191,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,17,0.018,descriptive,True,240.0,245760.0,245760.0,0.0169284455478191,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,17,0.016,descriptive,True,244.0,249856.0,249856.0,0.0143969906494021,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,17,0.015,descriptive,True,244.0,249856.0,249856.0,0.0143969906494021,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,17,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,18,0.05,primary,True,212.0,217088.0,217088.0,0.0477913990616798,960.0,983040.0,983040.0,212.0,217088.0,217088.0
1,NOG-ZO,18,0.03,descriptive,True,228.0,233472.0,233472.0,0.0254599340260028,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,18,0.02,descriptive,True,236.0,241664.0,241664.0,0.0167292542755603,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,18,0.018,descriptive,True,236.0,241664.0,241664.0,0.0167292542755603,960.0,983040.0,983040.0,236.0,241664.0,241664.0
1,NOG-ZO,18,0.016,descriptive,True,240.0,245760.0,245760.0,0.0146436542272567,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,18,0.015,descriptive,True,240.0,245760.0,245760.0,0.0146436542272567,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,18,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,NOG-ZO,19,0.05,primary,True,216.0,221184.0,221184.0,0.0463859885931015,960.0,983040.0,983040.0,216.0,221184.0,221184.0
1,NOG-ZO,19,0.03,descriptive,True,228.0,233472.0,233472.0,0.0299392938613891,960.0,983040.0,983040.0,228.0,233472.0,233472.0
1,NOG-ZO,19,0.02,descriptive,True,240.0,245760.0,245760.0,0.0167350899428129,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,19,0.018,descriptive,True,240.0,245760.0,245760.0,0.0167350899428129,960.0,983040.0,983040.0,240.0,245760.0,245760.0
1,NOG-ZO,19,0.016,descriptive,True,244.0,249856.0,249856.0,0.0145030999556183,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,19,0.015,descriptive,True,244.0,249856.0,249856.0,0.0145030999556183,960.0,983040.0,983040.0,244.0,249856.0,249856.0
1,NOG-ZO,19,0.01,descriptive,False,,,,,960.0,983040.0,983040.0,960.0,983040.0,983040.0
1,ME-DOL-ZO,0,0.05,primary,True,396.0,12672.0,12672.0,0.0454527698457241,30720.0,983040.0,983040.0,396.0,12672.0,12672.0
1,ME-DOL-ZO,0,0.03,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,0,0.02,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,0,0.018,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,0,0.016,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,0,0.015,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,0,0.01,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,1,0.05,primary,True,396.0,12672.0,12672.0,0.0470976196229457,30720.0,983040.0,983040.0,396.0,12672.0,12672.0
1,ME-DOL-ZO,1,0.03,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,1,0.02,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,1,0.018,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,1,0.016,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,1,0.015,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,1,0.01,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,2,0.05,primary,True,396.0,12672.0,12672.0,0.0445996448397636,30720.0,983040.0,983040.0,396.0,12672.0,12672.0
1,ME-DOL-ZO,2,0.03,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,2,0.02,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,2,0.018,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,2,0.016,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,2,0.015,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,2,0.01,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,3,0.05,primary,True,396.0,12672.0,12672.0,0.042058989405632,30720.0,983040.0,983040.0,396.0,12672.0,12672.0
1,ME-DOL-ZO,3,0.03,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,3,0.02,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,3,0.018,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,3,0.016,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,3,0.015,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,3,0.01,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,4,0.05,primary,True,300.0,9600.0,9600.0,0.0386206693947315,30720.0,983040.0,983040.0,300.0,9600.0,9600.0
1,ME-DOL-ZO,4,0.03,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,4,0.02,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,4,0.018,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,4,0.016,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,4,0.015,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,4,0.01,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,5,0.05,primary,True,396.0,12672.0,12672.0,0.0434054285287857,30720.0,983040.0,983040.0,396.0,12672.0,12672.0
1,ME-DOL-ZO,5,0.03,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,5,0.02,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,5,0.018,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,5,0.016,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,5,0.015,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,5,0.01,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,6,0.05,primary,True,300.0,9600.0,9600.0,0.0467971675097942,30720.0,983040.0,983040.0,300.0,9600.0,9600.0
1,ME-DOL-ZO,6,0.03,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,6,0.02,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,6,0.018,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,6,0.016,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,6,0.015,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
1,ME-DOL-ZO,6,0.01,descriptive,False,,,,,30720.0,983040.0,983040.0,30720.0,983040.0,983040.0
