sequence,runtime_task_id,phase,repeat,runtime_config_id,method,epsilons,worker_count,rounds,checkpoint_count,expected_config_sha256,observed_config_sha256,partial_sha256,final_depth,final_total_work,final_per_worker_work,training_time,communication_time,evaluation_time,end_to_end_time,passed,errors
31,runtime-task-19a93b6ae13602a9,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],2,960,21,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,7d2a046c961faeda2de87fa229a06af1d53498297e5071dddfc44ecf00bae1f7,962,492544,246272,19.38324646651745,1.0518765598535538,0.803012490272522,24.186716213822365,True,
32,runtime-task-f35cadf2b852bce8,measured,0,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],4,960,21,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,f3487b05bbf6382c0bdf1ddda94280c47063b309e3b7de39197d62e5a02cffd8,962,492544,123136,25.144091561436653,2.233115494251251,0.8376870006322861,30.16425159573555,True,
33,runtime-task-69ac41ab3ec35773,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],4,960,21,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,41d631b567209f00052ec19c43fd7dd88e23259c397591eb0952e1930be65670,962,492544,123136,26.74533674120903,2.284816950559616,0.8656913489103317,31.723803341388702,True,
34,runtime-task-10a5dba08930b029,measured,0,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",4,1920,41,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,4a53b1bc1eddc91994d4071ead50da2013be9164edc606076faf0743a1158a94,1920,7680,1920,36.77763286232948,2.991895020008087,1.6671114414930344,42.69058778882027,True,
35,runtime-task-8f95bc9a73f92050,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],4,960,21,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,5d3b0384de4b3ac413b395a32e75bcce9589e8b28a6a5ff4350f31f9d80ba1b0,962,246272,61568,22.671324715018272,2.022297352552414,0.8326055854558945,26.958874553442,True,
36,runtime-task-b9e214cf0f20ed29,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],8,960,21,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,2823c0c04203851d296808f29cd96dfcd2dce5d5aa6138df696d67c430182f03,962,492544,61568,37.96453009545803,3.759514093399048,0.8816196620464325,43.36690606176853,True,
37,runtime-task-dae10e5338053811,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],8,960,21,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,c56c31cba50474128eeadf58352f3751016c12929f272940cf49ed73ad093b7e,962,246272,30784,38.94562128186226,3.4378661662340164,0.9085688143968582,44.46410335600376,True,
38,runtime-task-3c565bac411ae2fb,measured,0,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],8,960,21,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,2ffa28a0c022dadc4be3cd6c05f9f8d71e2501ef8522db2079891d410b4f3cac,962,492544,61568,49.4158988147974,3.987963929772377,0.9511315077543259,55.050802797079086,True,
39,runtime-task-f1abe0708006b506,measured,0,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",8,1920,41,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,fc2ec516267c60de9d26e6f5bbfa474c55294b3a88f29a5e65b0253035d2b739,1920,15360,1920,66.95519396662712,6.0238939225673676,1.7877840846776962,73.36006589233875,True,
40,runtime-task-862d6d191eaeeb3a,measured,0,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",16,1920,41,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,5887336a296ea3746d2df503e18e1cf957bd9802a8688b14cac9d72a0bebc700,1920,30720,1920,118.70729157328606,12.011424079537392,1.9197685271501541,126.52179265022278,True,
41,runtime-task-a098adb055779031,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],16,960,21,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,50d13508858e277594db5ae5f85c6e2f1f36f5fe9afe377b1b6cf6bc5d54cdb6,962,246272,15392,69.9765061289072,6.40631477534771,0.8731093406677246,75.69147709012032,True,
42,runtime-task-ce1323107172f3f7,measured,0,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],16,960,21,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,4d0f2b02325eaee96c2bffd33da6ceb5722175eefbe4aec6b37e7146f0116b1f,962,492544,30784,76.68261367082596,6.469617709517479,0.9837937206029892,82.64433990418911,True,
43,runtime-task-a1b10735e4ada186,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],16,960,21,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,089bc3dfe6e58cdd1a41c944bbf579129e7ea60d2a97a60023e75fccdf16cc46,962,492544,30784,79.99636407196522,6.71957628428936,0.9133498072624207,89.71163892745972,True,
44,runtime-task-4c6019297db7687b,measured,0,NOG-FO__M-8__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-cbb2f9ab5aca,NOG-FO,[0.008],32,960,21,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,5fe27e9e36e24171d37f595a351fe9e0e065c19b249b50625d6c5446948857f4,e3fe07cbe64f90de19ba8e5fbc57a95ad6eb673fcf7e4f0d94396fa69be99222,962,492544,15392,96.50715111196041,12.784186229109764,0.8684020191431046,104.40628516674042,True,
45,runtime-task-565a7a4bf8e1d18f,measured,0,ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,"[0.01, 0.009, 0.008]",32,1920,41,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,db7540c2743916de615c0127fbf87b61790dbd3e1130975db24cf94fc66b0df8,e451393618498ebf84dd057240e25d699f211d9a55ee1bf633e49a28c004f4a9,1920,61440,1920,164.86241944134235,24.044896215200424,2.1628577262163162,174.00975342094898,True,
46,runtime-task-343d5cba38489712,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-8__rounds-960__runtime-bf7a41c99cdf,NOG-FO,[0.01],32,960,21,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,d4402cc4edee1c13c8d29cfce5e8b83d24a4e96a047635f88839f454bc37e8c1,489759eb63a89f692b7313726b04f3cfd0b08e591f25f73b719797cc1045ac7a,962,492544,15392,90.58371821045876,12.7072314620018,0.8775784820318222,98.044432669878,True,
47,runtime-task-65a57ff05f9caf53,measured,0,NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,[0.009],32,960,21,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,026056d9564f7d3c47d5b0d36ff53af74086e55ff00fa68730a1911250c8e8e1,c39ab82ebdb71738aa4c32b71b56bef8c9df25f94b0b9a82d3dae8f54187206b,962,246272,7696,87.37747846543789,12.715592548251152,0.9224683940410614,95.1162983328104,True,
