runtime_config_id,method,epsilon,worker_count,repeat,benchmark_seed,rounds,parameters,depth,total_work,per_worker_work,training_time,communication_time,communication_fraction,evaluation_time,end_to_end_time,non_training_overhead,final_stat_proxy,final_objective
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,2,2,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,3840,1920,28.650084421038628,1.40749953687191,0.049127238725982264,1.6770906150341034,34.39700862765312,4.069833591580391,0.010375713929533958,0.7184750437736511
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,4,0,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,7680,1920,36.77763286232948,2.991895020008087,0.08135094042641931,1.6671114414930344,42.69058778882027,4.245843484997749,0.009403219446539879,0.7178699374198914
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,4,1,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,7680,1920,30.4020444303751,3.069656655192375,0.10096875761833435,1.6786385029554367,36.28441569209099,4.203732758760452,0.009403219446539879,0.7178699374198914
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,4,2,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,7680,1920,59.975331246852875,3.201583221554756,0.05338166801242561,1.7877110689878464,66.08424654603004,4.321204230189323,0.009403219446539879,0.7178699374198914
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,8,0,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,15360,1920,66.95519396662712,6.0238939225673676,0.0899690310145303,1.7877840846776962,73.36006589233875,4.6170878410339355,0.008007253520190716,0.7178918123245239
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,8,1,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,15360,1920,51.25992260873318,5.502380430698395,0.10734273776997376,1.734706923365593,57.50577461719513,4.511145085096359,0.008007253520190716,0.7178918123245239
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,8,2,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,15360,1920,54.09659779071808,5.404190301895142,0.09989889424843637,1.6989363431930542,59.6000185161829,3.8044843822717667,0.008007253520190716,0.7178918123245239
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,16,0,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,30720,1920,118.70729157328606,12.011424079537392,0.10118522561119951,1.9197685271501541,126.52179265022278,5.894732549786568,0.00698100496083498,0.7177784442901611
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,16,1,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,30720,1920,90.24749924242496,11.674516648054123,0.12936110968231662,1.8187563866376877,97.49452944099903,5.4282738119363785,0.00698100496083498,0.7177784442901611
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,16,2,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,30720,1920,93.4490001052618,11.142632156610489,0.11923757497736014,1.8659340143203735,99.77454125881195,4.4596071392297745,0.00698100496083498,0.7177784442901611
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,32,0,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,61440,1920,164.86241944134235,24.044896215200424,0.1458482551492309,2.1628577262163162,174.00975342094898,6.984476253390312,0.007243712432682514,0.7177637815475464
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,32,1,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,61440,1920,167.87476873397827,24.883801817893982,0.1482283609714212,2.085196778178215,177.02601844072342,7.066052928566933,0.007243712432682514,0.7177637815475464
ME-DOL-FO__epoch_length-12__theory_multiplier-10p0__rounds-1920__runtime-f1b9b7cb1027,ME-DOL-FO,0.009,32,2,0,1920,"{""epoch_length"": 12, ""theory_multiplier"": 10.0}",1920,61440,1920,163.12946662306786,24.19634500145912,0.14832602289669694,2.110686406493187,172.75806026160717,7.517907232046127,0.007243712432682514,0.7177637815475464
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,0.009,1,0,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",962,246272,246272,11.990156441926956,0.1270606964826584,0.010597084124637016,0.7881904095411301,15.781313940882683,3.0029670894145966,0.007557247765362263,0.714524507522583
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,0.009,1,1,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",962,246272,246272,10.306334376335144,0.11632758378982544,0.011286998805019429,0.7841539978981018,14.034083217382431,2.943594843149185,0.007557247765362263,0.714524507522583
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,0.009,1,2,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",962,246272,246272,10.45216603577137,0.10930469632148743,0.010457611938750716,0.7870483100414276,14.279414549469948,3.0402002036571503,0.007557247765362263,0.714524507522583
NOG-FO__M-4__data_B_total-64__eta-1p0__smooth_B-4__rounds-960__runtime-be6f4a373a71,NOG-FO,0.009,2,0,0,960,"{""M"": 4, ""data_B_total"": 64, ""eta"": 1.0, ""smooth_B"": 4}",962,246272,123136,21.445611894130707,0.8859242796897888,0.04131028221825888,0.8457349389791489,25.35059291124344,3.059246078133583,0.007719696499407291,0.7145770788192749
