method,label,epsilon,hit_count,mean_depth_hits,mean_total_work_hits
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00775,5,542.4,69427.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.0075,5,547.2,70041.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00725,5,547.2,70041.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.007,5,552.0,70656.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00675,5,552.0,70656.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.0065,5,566.4,72499.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00625,5,571.2,73113.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.006,5,580.8,74342.4
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00575,5,585.6,74956.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.0055,5,590.4,75571.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00525,5,600.0,76800.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.005,5,614.4,78643.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00475,5,628.8,80486.4
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.0045,5,643.2,82329.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.00425,5,681.6,87244.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-100__batch-total-128__rounds-15360,0.004,5,691.2,88473.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.01,5,331.2,42393.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00975,5,336.0,43008.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.0095,5,336.0,43008.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00925,5,340.8,43622.4
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.009,5,345.6,44236.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00875,5,350.4,44851.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.0085,5,355.2,45465.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00825,5,355.2,45465.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.008,5,360.0,46080.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00775,5,360.0,46080.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.0075,5,360.0,46080.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00725,5,360.0,46080.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.007,5,369.6,47308.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00675,5,374.4,47923.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.0065,5,379.2,48537.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00625,5,379.2,48537.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.006,5,384.0,49152.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00575,5,388.8,49766.4
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.0055,5,403.2,51609.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00525,5,412.8,52838.4
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.005,5,417.6,53452.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00475,5,441.6,56524.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.0045,5,460.8,58982.4
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.00425,5,494.4,63283.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-150__batch-total-128__rounds-15360,0.004,5,619.2,79257.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.01,5,259.2,33177.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00975,5,259.2,33177.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.0095,5,259.2,33177.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00925,5,259.2,33177.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.009,5,259.2,33177.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00875,5,264.0,33792.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.0085,5,273.6,35020.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00825,5,273.6,35020.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.008,5,273.6,35020.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00775,5,273.6,35020.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.0075,5,273.6,35020.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00725,5,283.2,36249.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.007,5,283.2,36249.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00675,5,283.2,36249.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.0065,5,283.2,36249.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00625,5,297.6,38092.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.006,5,302.4,38707.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00575,5,312.0,39936.0
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.0055,5,316.8,40550.4
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00525,5,321.6,41164.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.005,5,326.4,41779.2
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00475,5,355.2,45465.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.0045,5,451.2,57753.6
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.00425,5,633.6,81100.8
ME-DOL-FO,ME-DOL-FO__epoch-12__mult-200__batch-total-128__rounds-15360,0.004,5,1132.8,144998.4
