method,base_method,iteration,round,block_id,worker_count,eval_point,delta,target_delta,smoothing_delta,M,lr_or_eta,block_oracle_norm,time_sec,formal_seed,problem_seed,partition_seed,method_seed,oracle_type,work,total_work,per_worker_work_max,per_worker_work,eval_work,communication_round,depth,objective,stat_proxy,evaluation_delta,train_accuracy,test_accuracy,candidate_id,candidate_parameters,candidate_rounds,target_total_work,dataset,batch_size,seed_role,small_batch,large_batch,restart_period,restart_mixing_rounds,epoch_length,domain_radius,theory_multiplier,smooth_B,data_B_per_worker,comparison_method,dataset_key,ablation_stage,ablation_method
NOG-ZO,NOG,2785,2785,2785.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.152978777885437,54.60873889923096,0,100000,200000,952307147,szo,356736,356736,44592,"[44592, 44592, 44592, 44592, 44592, 44592, 44592, 44592]",245760,2787,2787,0.4667453169822693,0.0311665534973144,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,2881,2881,2881.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.8743618726730347,56.41199541091919,0,100000,200000,952307147,szo,369024,369024,46128,"[46128, 46128, 46128, 46128, 46128, 46128, 46128, 46128]",253952,2883,2883,0.4653757214546203,0.0297275241464376,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,2977,2977,2977.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.982419490814209,58.39134740829468,0,100000,200000,952307147,szo,381312,381312,47664,"[47664, 47664, 47664, 47664, 47664, 47664, 47664, 47664]",262144,2979,2979,0.4639650881290436,0.0293247494846582,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,3073,3073,3073.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.7833713293075562,60.303422927856445,0,100000,200000,952307147,szo,393600,393600,49200,"[49200, 49200, 49200, 49200, 49200, 49200, 49200, 49200]",270336,3075,3075,0.4624005258083343,0.0286531671881675,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,3169,3169,3169.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.7291058301925659,62.20059013366699,0,100000,200000,952307147,szo,405888,405888,50736,"[50736, 50736, 50736, 50736, 50736, 50736, 50736, 50736]",278528,3171,3171,0.460965096950531,0.028228698298335,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,3265,3265,3265.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.9487048983573914,63.98432445526123,0,100000,200000,952307147,szo,418176,418176,52272,"[52272, 52272, 52272, 52272, 52272, 52272, 52272, 52272]",286720,3267,3267,0.4595812261104584,0.028335528448224,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,3361,3361,3361.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.045498013496399,65.80318474769592,0,100000,200000,952307147,szo,430464,430464,53808,"[53808, 53808, 53808, 53808, 53808, 53808, 53808, 53808]",294912,3363,3363,0.4583245813846588,0.0289945434778928,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,3457,3457,3457.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.0461663007736206,67.61130857467651,0,100000,200000,952307147,szo,442752,442752,55344,"[55344, 55344, 55344, 55344, 55344, 55344, 55344, 55344]",303104,3459,3459,0.457228273153305,0.0291428808122873,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,3553,3553,3553.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,1.0037026405334473,69.49453544616699,0,100000,200000,952307147,szo,455040,455040,56880,"[56880, 56880, 56880, 56880, 56880, 56880, 56880, 56880]",311296,3555,3555,0.4563196301460266,0.0304088834673166,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
NOG-ZO,NOG,3649,3649,3649.0,8,y_bar,0.002,0.002,0.001,1.0,9e-05,0.677916407585144,71.31866097450256,0,100000,200000,952307147,szo,467328,467328,58416,"[58416, 58416, 58416, 58416, 58416, 58416, 58416, 58416]",319488,3651,3651,0.4554687738418579,0.0294484887272119,0.002,0.7591904401779175,0.7637737393379211,NOG-ZO__M-1__data_B_total-64__eta-9em05__smooth_B-1,"{""M"": 1, ""data_B_total"": 64, ""eta"": 9e-05, ""smooth_B"": 1}",7678,983040,a9a,,,,,,,,,,,,latest_NOG-ZO,a9a,,
