dataset,method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,hit_epsilon,capped_depth,capped_work,stage
synthetic_maxsinl1,current_NOG-nonopt,724,0.04,True,216,221184,0.03722211346,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.03,True,224,229376,0.02584867924,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.025,True,228,233472,0.02098193206,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.02,True,232,237568,0.0175879728,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.018,True,232,237568,0.0175879728,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.016,True,236,241664,0.01490812004,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.015,True,236,241664,0.01490812004,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.014,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.013,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.012,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.0115,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.011,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.01075,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.0105,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.01025,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.01,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.0095,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.009,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.008,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.007,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.006,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.005,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.004,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.003,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,724,0.002,False,,,0.03040632233,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.2,True,100,102400,0.1973401606,960,983040,formal
